,match,match_competitive_idx,matchweek,stage_0,stage_0_base,stage_1,stage_1_base,stage_2,stage_2_base,stage_3,stage_3_base,stage_4,stage_4_base,stage_4_end
0,afc_bournemouth2015-08-08,0.0,0,11:00:00,26.8,13:00:00,52.6,15:00:00,36.21,16:51:00,23.0,18:51:00,21.73,20:51:00
1,afc_bournemouth2015-08-17,-5.54,1,16:00:00,19.31,18:00:00,60.94,20:00:00,55.43,21:51:00,20.89,23:51:00,,01:51:00
2,afc_bournemouth2015-08-22,-0.61,2,11:00:00,46.73,13:00:00,58.6,15:00:00,69.64,16:51:00,52.73,18:51:00,45.07,20:51:00
3,afc_bournemouth2015-08-29,-0.81,3,11:00:00,51.47,13:00:00,73.93,15:00:00,68.07,16:51:00,52.33,18:51:00,45.87,20:51:00
4,afc_bournemouth2015-09-12,-0.61,4,11:00:00,74.2,13:00:00,78.6,15:00:00,81.21,16:51:00,70.13,18:51:00,70.8,20:51:00
5,afc_bournemouth2015-09-19,-3.28,5,11:00:00,45.27,13:00:00,64.0,15:00:00,57.93,16:51:00,48.73,18:51:00,46.73,20:51:00
6,afc_bournemouth2015-09-26,0.5,6,11:00:00,65.73,13:00:00,71.4,15:00:00,82.0,16:51:00,65.07,18:51:00,63.87,20:51:00
7,afc_bournemouth2015-10-03,-0.87,7,11:00:00,51.93,13:00:00,51.6,15:00:00,55.86,16:51:00,46.13,18:51:00,45.87,20:51:00
8,afc_bournemouth2015-10-17,-7.66,8,11:00:00,32.73,13:00:00,62.2,15:00:00,54.64,16:51:00,36.13,18:51:00,33.6,20:51:00
9,afc_bournemouth2015-10-25,1.44,9,10:05:00,33.27,12:05:00,43.2,14:05:00,70.07,15:56:00,42.4,17:56:00,37.0,19:56:00
10,afc_bournemouth2015-11-01,-4.44,10,12:00:00,32.06,14:00:00,49.12,16:00:00,83.14,17:51:00,41.93,19:51:00,40.4,21:51:00
11,afc_bournemouth2015-11-07,-0.77,11,08:45:00,34.47,10:45:00,52.27,12:45:00,81.64,14:36:00,34.07,16:36:00,25.13,18:36:00
12,afc_bournemouth2015-11-21,-2.09,12,11:00:00,69.73,13:00:00,66.87,15:00:00,89.57,16:51:00,71.93,18:51:00,65.4,20:51:00
13,afc_bournemouth2015-11-28,0.86,13,11:00:00,31.0,13:00:00,32.93,15:00:00,45.5,16:51:00,43.87,18:51:00,30.8,20:51:00
14,afc_bournemouth2015-12-05,-7.63,14,13:30:00,10.0,15:30:00,23.13,17:30:00,56.64,19:21:00,33.0,21:21:00,19.0,23:21:00
15,afc_bournemouth2015-12-12,1.31,15,13:30:00,6.2,15:30:00,15.8,17:30:00,49.29,19:21:00,22.53,21:21:00,14.25,23:21:00
16,afc_bournemouth2015-12-19,0.54,16,11:00:00,51.27,13:00:00,46.47,15:00:00,69.14,16:51:00,61.93,18:51:00,49.4,20:51:00
17,afc_bournemouth2015-12-26,0.43,17,11:00:00,61.07,13:00:00,61.53,15:00:00,86.79,16:51:00,62.6,18:51:00,53.27,20:51:00
18,afc_bournemouth2015-12-28,-6.58,18,13:30:00,15.13,15:30:00,35.33,17:30:00,58.93,19:21:00,25.87,21:21:00,20.92,23:21:00
19,afc_bournemouth2016-01-02,-2.08,19,11:00:00,39.27,13:00:00,43.33,15:00:00,81.43,16:51:00,44.47,18:51:00,33.53,20:51:00
20,afc_bournemouth2016-01-12,-1.01,20,15:45:00,39.47,17:45:00,52.07,19:45:00,83.64,21:36:00,63.36,23:36:00,,01:36:00
21,afc_bournemouth2016-01-16,-2.1,21,11:00:00,59.8,13:00:00,60.07,15:00:00,80.93,16:51:00,68.07,18:51:00,55.87,20:51:00
22,afc_bournemouth2016-01-23,0.95,22,11:00:00,67.6,13:00:00,64.13,15:00:00,89.93,16:51:00,71.8,18:51:00,62.6,20:51:00
