time,match_id,shorthand_search_vol,home_goal,away_goal,home_yellow,away_yellow,home_red,away_red,stage_0_ind,stage_1_ind,stage_2_ind,stage_3_ind,stage_4_ind,match_wk,competitive_idx,cum_total_goals,cum_goal_diff,man_down,upset
11:04:00,afc_bournemouth2015-08-08,30,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
11:12:00,afc_bournemouth2015-08-08,33,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
11:20:00,afc_bournemouth2015-08-08,29,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
11:28:00,afc_bournemouth2015-08-08,30,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
11:36:00,afc_bournemouth2015-08-08,23,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
11:44:00,afc_bournemouth2015-08-08,25,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
11:52:00,afc_bournemouth2015-08-08,24,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
12:00:00,afc_bournemouth2015-08-08,23,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
12:08:00,afc_bournemouth2015-08-08,24,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
12:16:00,afc_bournemouth2015-08-08,25,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
12:24:00,afc_bournemouth2015-08-08,25,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
12:32:00,afc_bournemouth2015-08-08,30,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
12:40:00,afc_bournemouth2015-08-08,27,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
12:48:00,afc_bournemouth2015-08-08,26,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
12:56:00,afc_bournemouth2015-08-08,28,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
13:04:00,afc_bournemouth2015-08-08,29,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
13:12:00,afc_bournemouth2015-08-08,28,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
13:20:00,afc_bournemouth2015-08-08,29,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
13:28:00,afc_bournemouth2015-08-08,30,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
13:36:00,afc_bournemouth2015-08-08,54,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
13:44:00,afc_bournemouth2015-08-08,67,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
13:52:00,afc_bournemouth2015-08-08,88,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
14:00:00,afc_bournemouth2015-08-08,100,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
14:08:00,afc_bournemouth2015-08-08,68,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
14:16:00,afc_bournemouth2015-08-08,57,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
14:24:00,afc_bournemouth2015-08-08,54,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
14:32:00,afc_bournemouth2015-08-08,52,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
14:40:00,afc_bournemouth2015-08-08,49,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
14:48:00,afc_bournemouth2015-08-08,40,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
14:56:00,afc_bournemouth2015-08-08,44,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
15:04:00,afc_bournemouth2015-08-08,51,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
15:12:00,afc_bournemouth2015-08-08,49,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
15:20:00,afc_bournemouth2015-08-08,48,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
15:28:00,afc_bournemouth2015-08-08,48,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
15:36:00,afc_bournemouth2015-08-08,42,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
15:44:00,afc_bournemouth2015-08-08,41,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
15:52:00,afc_bournemouth2015-08-08,39,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
16:00:00,afc_bournemouth2015-08-08,32,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
16:08:00,afc_bournemouth2015-08-08,32,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
16:16:00,afc_bournemouth2015-08-08,25,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
16:24:00,afc_bournemouth2015-08-08,27,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
16:32:00,afc_bournemouth2015-08-08,25,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0
16:40:00,afc_bournemouth2015-08-08,24,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0
16:48:00,afc_bournemouth2015-08-08,24,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0
16:56:00,afc_bournemouth2015-08-08,24,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
17:04:00,afc_bournemouth2015-08-08,28,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
17:12:00,afc_bournemouth2015-08-08,25,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
17:20:00,afc_bournemouth2015-08-08,23,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
17:28:00,afc_bournemouth2015-08-08,25,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
17:36:00,afc_bournemouth2015-08-08,22,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
17:44:00,afc_bournemouth2015-08-08,20,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
17:52:00,afc_bournemouth2015-08-08,23,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
18:00:00,afc_bournemouth2015-08-08,22,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
18:08:00,afc_bournemouth2015-08-08,20,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
18:16:00,afc_bournemouth2015-08-08,21,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
18:24:00,afc_bournemouth2015-08-08,23,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
18:32:00,afc_bournemouth2015-08-08,24,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
18:40:00,afc_bournemouth2015-08-08,23,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
18:48:00,afc_bournemouth2015-08-08,22,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
18:56:00,afc_bournemouth2015-08-08,20,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0
19:04:00,afc_bournemouth2015-08-08,21,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0
19:12:00,afc_bournemouth2015-08-08,23,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0
19:20:00,afc_bournemouth2015-08-08,23,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0
19:28:00,afc_bournemouth2015-08-08,21,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0
19:36:00,afc_bournemouth2015-08-08,21,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0
19:44:00,afc_bournemouth2015-08-08,22,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0
19:52:00,afc_bournemouth2015-08-08,23,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0
20:00:00,afc_bournemouth2015-08-08,21,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0
20:08:00,afc_bournemouth2015-08-08,21,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0
20:16:00,afc_bournemouth2015-08-08,21,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0
20:24:00,afc_bournemouth2015-08-08,22,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0
20:32:00,afc_bournemouth2015-08-08,22,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0
20:40:00,afc_bournemouth2015-08-08,23,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0
20:48:00,afc_bournemouth2015-08-08,22,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0
16:00:00,afc_bournemouth2015-08-17,14,0,0,0,0,0,0,1,0,0,0,0,1,5.54,0,0,0,0
16:08:00,afc_bournemouth2015-08-17,16,0,0,0,0,0,0,1,0,0,0,0,1,5.54,0,0,0,0
16:16:00,afc_bournemouth2015-08-17,15,0,0,0,0,0,0,1,0,0,0,0,1,5.54,0,0,0,0
16:24:00,afc_bournemouth2015-08-17,15,0,0,0,0,0,0,1,0,0,0,0,1,5.54,0,0,0,0
16:32:00,afc_bournemouth2015-08-17,16,0,0,0,0,0,0,1,0,0,0,0,1,5.54,0,0,0,0
16:40:00,afc_bournemouth2015-08-17,16,0,0,0,0,0,0,1,0,0,0,0,1,5.54,0,0,0,0
16:48:00,afc_bournemouth2015-08-17,15,0,0,0,0,0,0,1,0,0,0,0,1,5.54,0,0,0,0
16:56:00,afc_bournemouth2015-08-17,17,0,0,0,0,0,0,1,0,0,0,0,1,5.54,0,0,0,0
17:04:00,afc_bournemouth2015-08-17,18,0,0,0,0,0,0,1,0,0,0,0,1,5.54,0,0,0,0
17:12:00,afc_bournemouth2015-08-17,19,0,0,0,0,0,0,1,0,0,0,0,1,5.54,0,0,0,0
17:20:00,afc_bournemouth2015-08-17,20,0,0,0,0,0,0,1,0,0,0,0,1,5.54,0,0,0,0
17:28:00,afc_bournemouth2015-08-17,21,0,0,0,0,0,0,1,0,0,0,0,1,5.54,0,0,0,0
17:36:00,afc_bournemouth2015-08-17,22,0,0,0,0,0,0,1,0,0,0,0,1,5.54,0,0,0,0
17:44:00,afc_bournemouth2015-08-17,25,0,0,0,0,0,0,1,0,0,0,0,1,5.54,0,0,0,0
17:52:00,afc_bournemouth2015-08-17,29,0,0,0,0,0,0,1,0,0,0,0,1,5.54,0,0,0,0
18:00:00,afc_bournemouth2015-08-17,31,0,0,0,0,0,0,1,1,0,0,0,1,5.54,0,0,0,0
18:08:00,afc_bournemouth2015-08-17,29,0,0,0,0,0,0,0,1,0,0,0,1,5.54,0,0,0,0
18:16:00,afc_bournemouth2015-08-17,33,0,0,0,0,0,0,0,1,0,0,0,1,5.54,0,0,0,0
18:24:00,afc_bournemouth2015-08-17,36,0,0,0,0,0,0,0,1,0,0,0,1,5.54,0,0,0,0
18:32:00,afc_bournemouth2015-08-17,40,0,0,0,0,0,0,0,1,0,0,0,1,5.54,0,0,0,0
18:40:00,afc_bournemouth2015-08-17,54,0,0,0,0,0,0,0,1,0,0,0,1,5.54,0,0,0,0
18:48:00,afc_bournemouth2015-08-17,68,0,0,0,0,0,0,0,1,0,0,0,1,5.54,0,0,0,0
18:56:00,afc_bournemouth2015-08-17,100,0,0,0,0,0,0,0,1,0,0,0,1,5.54,0,0,0,0
19:04:00,afc_bournemouth2015-08-17,100,0,0,0,0,0,0,0,1,0,0,0,1,5.54,0,0,0,0
19:12:00,afc_bournemouth2015-08-17,85,0,0,0,0,0,0,0,1,0,0,0,1,5.54,0,0,0,0
19:20:00,afc_bournemouth2015-08-17,74,0,0,0,0,0,0,0,1,0,0,0,1,5.54,0,0,0,0
19:28:00,afc_bournemouth2015-08-17,80,0,0,0,0,0,0,0,1,0,0,0,1,5.54,0,0,0,0
19:36:00,afc_bournemouth2015-08-17,67,0,0,0,0,0,0,0,1,0,0,0,1,5.54,0,0,0,0
19:44:00,afc_bournemouth2015-08-17,56,0,0,0,0,0,0,0,1,0,0,0,1,5.54,0,0,0,0
19:52:00,afc_bournemouth2015-08-17,55,0,0,0,0,0,0,0,1,0,0,0,1,5.54,0,0,0,0
20:00:00,afc_bournemouth2015-08-17,67,0,0,0,0,0,0,0,1,1,0,0,1,5.54,0,0,0,0
20:08:00,afc_bournemouth2015-08-17,64,0,0,0,0,0,0,0,0,1,0,0,1,5.54,0,0,0,0
20:16:00,afc_bournemouth2015-08-17,84,0,0,0,0,0,0,0,0,1,0,0,1,5.54,0,0,0,0
20:24:00,afc_bournemouth2015-08-17,72,0,0,0,0,0,0,0,0,1,0,0,1,5.54,0,0,0,0
20:32:00,afc_bournemouth2015-08-17,76,1,0,0,0,0,0,0,0,1,0,0,1,5.54,1,1,0,0
20:40:00,afc_bournemouth2015-08-17,72,0,0,0,1,0,0,0,0,1,0,0,1,5.54,1,1,0,0
20:48:00,afc_bournemouth2015-08-17,74,0,0,0,0,0,0,0,0,1,0,0,1,5.54,1,1,0,0
20:56:00,afc_bournemouth2015-08-17,54,0,0,0,0,0,0,0,0,1,0,0,1,5.54,1,1,0,0
21:04:00,afc_bournemouth2015-08-17,44,0,0,0,0,0,0,0,0,1,0,0,1,5.54,1,1,0,0
21:12:00,afc_bournemouth2015-08-17,41,0,0,0,0,0,0,0,0,1,0,0,1,5.54,1,1,0,0
21:20:00,afc_bournemouth2015-08-17,35,0,0,0,0,0,0,0,0,1,0,0,1,5.54,1,1,0,0
21:28:00,afc_bournemouth2015-08-17,36,0,0,0,0,0,0,0,0,1,0,0,1,5.54,1,1,0,0
21:36:00,afc_bournemouth2015-08-17,29,0,0,1,1,0,0,0,0,1,0,0,1,5.54,1,1,0,0
21:44:00,afc_bournemouth2015-08-17,28,0,0,0,0,0,0,0,0,1,0,0,1,5.54,1,1,0,0
21:52:00,afc_bournemouth2015-08-17,26,0,0,0,1,0,0,0,0,0,1,0,1,5.54,1,1,0,0
22:00:00,afc_bournemouth2015-08-17,26,0,0,0,0,0,0,0,0,0,1,0,1,5.54,1,1,0,0
22:08:00,afc_bournemouth2015-08-17,22,0,0,0,0,0,0,0,0,0,1,0,1,5.54,1,1,0,0
22:16:00,afc_bournemouth2015-08-17,23,0,0,0,0,0,0,0,0,0,1,0,1,5.54,1,1,0,0
22:24:00,afc_bournemouth2015-08-17,19,0,0,0,0,0,0,0,0,0,1,0,1,5.54,1,1,0,0
22:32:00,afc_bournemouth2015-08-17,19,0,0,0,0,0,0,0,0,0,1,0,1,5.54,1,1,0,0
22:40:00,afc_bournemouth2015-08-17,20,0,0,0,0,0,0,0,0,0,1,0,1,5.54,1,1,0,0
22:48:00,afc_bournemouth2015-08-17,17,0,0,0,0,0,0,0,0,0,1,0,1,5.54,1,1,0,0
22:56:00,afc_bournemouth2015-08-17,16,0,0,0,0,0,0,0,0,0,1,0,1,5.54,1,1,0,0
11:04:00,afc_bournemouth2015-08-22,55,0,0,0,0,0,0,1,0,0,0,0,2,0.61,0,0,0,0
11:12:00,afc_bournemouth2015-08-22,53,0,0,0,0,0,0,1,0,0,0,0,2,0.61,0,0,0,0
11:20:00,afc_bournemouth2015-08-22,46,0,0,0,0,0,0,1,0,0,0,0,2,0.61,0,0,0,0
11:28:00,afc_bournemouth2015-08-22,50,0,0,0,0,0,0,1,0,0,0,0,2,0.61,0,0,0,0
11:36:00,afc_bournemouth2015-08-22,47,0,0,0,0,0,0,1,0,0,0,0,2,0.61,0,0,0,0
11:44:00,afc_bournemouth2015-08-22,42,0,0,0,0,0,0,1,0,0,0,0,2,0.61,0,0,0,0
11:52:00,afc_bournemouth2015-08-22,46,0,0,0,0,0,0,1,0,0,0,0,2,0.61,0,0,0,0
12:00:00,afc_bournemouth2015-08-22,51,0,0,0,0,0,0,1,0,0,0,0,2,0.61,0,0,0,0
12:08:00,afc_bournemouth2015-08-22,53,0,0,0,0,0,0,1,0,0,0,0,2,0.61,0,0,0,0
12:16:00,afc_bournemouth2015-08-22,46,0,0,0,0,0,0,1,0,0,0,0,2,0.61,0,0,0,0
12:24:00,afc_bournemouth2015-08-22,42,0,0,0,0,0,0,1,0,0,0,0,2,0.61,0,0,0,0
12:32:00,afc_bournemouth2015-08-22,44,0,0,0,0,0,0,1,0,0,0,0,2,0.61,0,0,0,0
12:40:00,afc_bournemouth2015-08-22,43,0,0,0,0,0,0,1,0,0,0,0,2,0.61,0,0,0,0
12:48:00,afc_bournemouth2015-08-22,42,0,0,0,0,0,0,1,0,0,0,0,2,0.61,0,0,0,0
12:56:00,afc_bournemouth2015-08-22,41,0,0,0,0,0,0,1,0,0,0,0,2,0.61,0,0,0,0
13:04:00,afc_bournemouth2015-08-22,46,0,0,0,0,0,0,0,1,0,0,0,2,0.61,0,0,0,0
13:12:00,afc_bournemouth2015-08-22,47,0,0,0,0,0,0,0,1,0,0,0,2,0.61,0,0,0,0
13:20:00,afc_bournemouth2015-08-22,42,0,0,0,0,0,0,0,1,0,0,0,2,0.61,0,0,0,0
13:28:00,afc_bournemouth2015-08-22,44,0,0,0,0,0,0,0,1,0,0,0,2,0.61,0,0,0,0
13:36:00,afc_bournemouth2015-08-22,53,0,0,0,0,0,0,0,1,0,0,0,2,0.61,0,0,0,0
13:44:00,afc_bournemouth2015-08-22,56,0,0,0,0,0,0,0,1,0,0,0,2,0.61,0,0,0,0
13:52:00,afc_bournemouth2015-08-22,56,0,0,0,0,0,0,0,1,0,0,0,2,0.61,0,0,0,0
14:00:00,afc_bournemouth2015-08-22,66,0,0,0,0,0,0,0,1,0,0,0,2,0.61,0,0,0,0
14:08:00,afc_bournemouth2015-08-22,70,0,0,0,0,0,0,0,1,0,0,0,2,0.61,0,0,0,0
14:16:00,afc_bournemouth2015-08-22,67,0,0,0,0,0,0,0,1,0,0,0,2,0.61,0,0,0,0
14:24:00,afc_bournemouth2015-08-22,66,0,0,0,0,0,0,0,1,0,0,0,2,0.61,0,0,0,0
14:32:00,afc_bournemouth2015-08-22,70,0,0,0,0,0,0,0,1,0,0,0,2,0.61,0,0,0,0
14:40:00,afc_bournemouth2015-08-22,66,0,0,0,0,0,0,0,1,0,0,0,2,0.61,0,0,0,0
14:48:00,afc_bournemouth2015-08-22,67,0,0,0,0,0,0,0,1,0,0,0,2,0.61,0,0,0,0
