,avg_a_odds,avg_d_odds,avg_h_odds,away_goals,away_reds,away_side,away_yellows,date,disallowed_goals,home_goals,home_reds,home_side,home_yellows,kickoff_time
0,-1.0,-1.0,-1.0,['16:30:00'],[],10252,"['15:45:00', '16:33:00', '16:48:00']",2015-08-08,[],[],[],8678,"['15:24:00', '15:42:00', '16:38:00']",15:00:00
1,7.0,4.588,1.464,[],[],8678,"['20:34:00', '21:34:00', '21:35:00', '21:48:00']",2015-08-17,['20:05:00'],['20:26:00'],[],8650,['21:33:00'],20:00:00
2,3.0,3.348,2.388,"['15:11:00', '15:28:00', '16:24:00', '16:37:00']",[],8678,['16:33:00'],2015-08-22,[],"['16:06:00', '16:11:00', '16:40:00']",['16:37:00'],8654,[],15:00:00
3,3.0,3.426,2.19,['16:44:00'],[],8197,"['15:13:00', '15:36:00', '16:06:00', '16:48:00']",2015-08-29,[],['15:24:00'],[],8678,"['15:01:00', '16:33:00']",15:00:00
4,3.0,3.356,2.392,['16:39:00'],[],8678,"['15:24:00', '15:25:00', '16:19:00']",2015-09-12,[],"['15:35:00', '16:10:00', '16:25:00']",[],9850,"['15:20:00', '15:30:00']",15:00:00
5,5.0,3.808,1.718,[],['16:32:00'],8472,"['15:15:00', '15:23:00', '15:43:00', '16:21:00', '16:42:00']",2015-09-19,['16:12:00'],"['15:04:00', '15:09:00']",[],8678,"['16:38:00', '16:48:00']",15:00:00
6,2.0,3.292,2.504,['16:34:00'],[],8678,[],2015-09-26,[],"['15:33:00', '16:42:00']",[],10194,['16:48:00'],15:00:00
7,3.0,3.338,2.126,['15:45:00'],[],9817,['16:42:00'],2015-10-03,[],"['15:28:00', '16:43:00']",[],8678,['15:43:00'],15:00:00
8,9.0,5.376,1.338,['15:22:00'],[],8678,['16:45:00'],2015-10-17,['16:51:00'],"['15:07:00', '15:11:00', '15:29:00', '15:48:00', '16:47:00']",[],8456,"['15:27:00', '15:42:00']",15:00:00
9,2.0,3.304,3.436,"['14:14:00', '14:22:00', '14:35:00', '15:19:00', '15:27:00']",[],8586,['14:37:00'],2015-10-25,[],['14:06:00'],[],8678,[],14:05:00
10,6.0,4.14,1.558,[],[],8678,"['17:15:00', '17:22:00']",2015-11-01,[],"['16:31:00', '16:36:00']",['17:36:00'],8466,['16:21:00'],16:00:00
11,3.0,3.412,2.226,['13:12:00'],[],10261,"['13:29:00', '14:31:00']",2015-11-07,[],[],[],8678,"['14:12:00', '14:26:00']",12:45:00
12,4.0,3.478,1.906,"['15:10:00', '15:26:00']",[],8678,"['15:30:00', '16:09:00']",2015-11-21,['15:18:00'],"['15:28:00', '15:39:00']",[],10003,"['16:30:00', '16:45:00', '16:46:00']",15:00:00
13,2.0,3.446,2.86,"['15:25:00', '15:35:00', '16:53:00']",[],8668,[],2015-11-28,[],"['16:38:00', '16:45:00', '16:56:00']",[],8678,"['16:40:00', '16:48:00']",15:00:00
14,9.0,4.946,1.368,['19:10:00'],[],8678,['17:53:00'],2015-12-05,[],[],[],8455,"['17:51:00', '18:51:00']",17:30:00
15,2.0,3.338,3.312,['17:54:00'],[],10260,['18:11:00'],2015-12-12,[],"['17:32:00', '18:42:00']",[],8678,"['19:13:00', '19:18:00']",17:30:00
16,2.0,3.224,2.538,"['16:10:00', '16:45:00']",[],8678,['16:48:00'],2015-12-19,[],['16:37:00'],"['15:34:00', '16:48:00']",8659,"['15:39:00', '16:22:00']",15:00:00
17,2.0,3.33,2.426,[],[],9826,[],2015-12-26,[],[],[],8678,['15:36:00'],15:00:00
18,8.0,4.682,1.418,[],[],8678,[],2015-12-28,[],"['17:57:00', '18:51:00']",[],9825,"['18:00:00', '18:49:00']",17:30:00
19,4.0,3.58,1.92,[],['16:15:00'],8678,['15:34:00'],2016-01-02,[],['16:17:00'],[],8197,['16:20:00'],15:00:00
20,3.0,3.49,1.992,"['21:10:00', '21:17:00', '21:27:00']",[],8654,['21:11:00'],2016-01-12,[],['20:02:00'],[],8678,['21:09:00'],19:45:00
21,4.0,3.476,1.9,[],[],9850,['15:43:00'],2016-01-16,[],"['15:10:00', '16:12:00', '16:33:00']",[],8678,['16:06:00'],15:00:00
22,2.0,3.208,2.952,['15:13:00'],[],8678,['15:18:00'],2016-01-23,[],['15:46:00'],[],8472,['16:47:00'],15:00:00
23,3.0,3.19,2.446,"['20:34:00', '21:15:00']",[],8678,"['21:23:00', '21:34:00', '21:39:00', '21:48:00']",2016-02-02,[],['20:27:00'],[],9826,"['20:43:00', '21:09:00', '21:27:00']",20:00:00
24,2.0,3.416,3.788,"['13:53:00', '13:54:00']",[],9825,['13:39:00'],2016-02-07,[],[],[],8678,[],13:30:00
25,3.0,3.298,2.044,"['15:09:00', '16:10:00', '16:13:00']",[],10194,"['15:21:00', '16:48:00']",2016-02-13,[],['16:15:00'],[],8678,"['15:36:00', '16:32:00', '16:43:00', '16:48:00']",15:00:00
26,3.0,3.222,2.388,[],[],8678,['16:43:00'],2016-02-27,[],[],[],9817,"['16:36:00', '16:41:00', '16:45:00']",15:00:00
27,2.0,3.23,2.868,[],[],8466,[],2016-03-01,[],"['20:16:00', '21:22:00']",[],8678,[],19:45:00
28,2.0,3.31,2.598,"['16:28:00', '16:50:00']",[],8678,"['15:45:00', '16:33:00', '16:47:00']",2016-03-05,[],"['15:28:00', '16:38:00']",[],10261,['16:14:00'],15:00:00
29,4.0,3.358,1.946,"['15:39:00', '16:20:00']",[],10003,[],2016-03-12,[],"['15:37:00', '16:08:00', '16:36:00']",[],8678,['15:34:00'],15:00:00
30,6.0,4.164,1.538,[],[],8678,['17:17:00'],2016-03-20,[],"['16:01:00', '16:16:00', '17:10:00']",[],8586,[],16:00:00
31,2.0,3.49,3.71,"['15:07:00', '15:12:00', '15:19:00', '16:51:00']",[],8456,['16:47:00'],2016-04-02,[],[],[],8678,[],15:00:00
32,2.0,3.324,3.488,"['15:47:00', '16:32:00']",[],8678,"['15:27:00', '15:32:00']",2016-04-09,[],['16:43:00'],[],10252,"['15:36:00', '16:48:00']",15:00:00
33,2.0,3.414,3.522,"['14:11:00', '14:17:00']",[],8650,[],2016-04-17,[],['15:22:00'],[],8678,[],13:30:00
