,avg_a_odds,avg_d_odds,avg_h_odds,away_goals,away_reds,away_side,away_yellows,date,disallowed_goals,home_goals,home_reds,home_side,home_yellows,kickoff_time
0,11.0,5.6,1.294,"['14:13:00', '14:45:00']",[],8654,"['13:35:00', '13:38:00', '14:07:00']",2015-08-09,[],[],[],9825,['14:57:00'],13:30:00
1,1.0,3.774,5.118,['13:46:00'],[],9825,['14:12:00'],2015-08-16,[],"['13:58:00', '14:43:00']",[],9826,['14:15:00'],13:30:00
2,5.0,3.8,1.744,[],[],8650,"['21:19:00', '21:24:00', '21:37:00', '21:43:00']",2015-08-24,['20:09:00'],[],[],9825,['21:23:00'],20:00:00
3,1.0,3.952,5.826,[],[],9825,['13:52:00'],2015-08-29,[],['13:55:00'],['13:01:00'],10261,"['12:48:00', '13:04:00', '13:11:00', '13:51:00', '13:52:00', '14:33:00']",12:45:00
4,11.0,5.624,1.294,[],[],10194,['16:39:00'],2015-09-12,[],"['15:31:00', '16:43:00']",[],9825,['15:38:00'],15:00:00
5,3.0,3.402,2.44,['14:34:00'],"['13:30:00', '14:22:00']",9825,"['13:16:00', '13:30:00', '14:15:00']",2015-09-19,[],['13:56:00'],[],8455,"['13:30:00', '13:52:00', '14:07:00']",12:45:00
6,1.0,3.854,4.276,"['15:18:00', '15:33:00', '16:16:00', '16:39:00', '16:51:00']",[],9825,['16:26:00'],2015-09-26,[],"['15:13:00', '16:47:00']",[],8197,['16:30:00'],15:00:00
7,3.0,3.594,2.012,[],[],10260,"['16:22:00', '16:30:00', '17:13:00']",2015-10-04,[],"['16:06:00', '16:07:00', '16:19:00']",[],9825,['17:09:00'],16:00:00
8,1.0,4.042,5.858,"['18:50:00', '18:56:00', '19:02:00']",[],9825,['18:47:00'],2015-10-17,[],[],[],9817,"['18:35:00', '18:51:00']",17:30:00
9,7.0,4.584,1.438,['18:14:00'],['19:18:00'],8668,['18:55:00'],2015-10-24,[],"['18:06:00', '18:08:00']",[],9825,"['17:55:00', '18:58:00']",17:30:00
10,1.0,3.766,4.86,"['16:07:00', '16:26:00', '16:31:00']",[],9825,[],2015-10-31,[],[],[],10003,"['16:15:00', '16:47:00']",15:00:00
11,4.0,3.876,1.72,['16:32:00'],[],8586,['17:13:00'],2015-11-08,[],['17:35:00'],[],9825,[],16:00:00
12,1.0,4.256,6.536,"['15:28:00', '15:40:00', '16:42:00']",[],9825,"['15:32:00', '15:42:00']",2015-11-21,[],['15:35:00'],[],8659,"['15:43:00', '16:41:00', '16:48:00']",15:00:00
13,1.0,4.168,5.574,['16:45:00'],[],9825,['17:27:00'],2015-11-29,[],['16:58:00'],[],9850,['17:30:00'],16:15:00
14,12.0,5.778,1.274,[],[],8472,['16:38:00'],2015-12-05,[],"['15:33:00', '15:46:00', '16:21:00', '16:51:00']",[],9825,['15:44:00'],15:00:00
15,1.0,4.018,6.348,"['13:38:00', '14:08:00']",[],9825,[],2015-12-13,[],[],[],10252,[],13:30:00
