,avg_a_odds,avg_d_odds,avg_h_odds,away_goals,away_reds,away_side,away_yellows,date,disallowed_goals,home_goals,home_reds,home_side,home_yellows,kickoff_time
0,-1.0,-1.0,-1.0,['16:30:00'],[],10252,"['15:45:00', '16:33:00', '16:48:00']",2015-08-08,[],[],[],8678,"['15:24:00', '15:42:00', '16:38:00']",15:00:00
1,1.0,3.716,5.432,['20:14:00'],[],10260,"['21:17:00', '21:27:00']",2015-08-14,[],[],[],10252,"['21:14:00', '21:33:00']",19:45:00
2,4.0,3.526,1.85,[],[],10252,"['16:13:00', '16:42:00', '16:44:00']",2015-08-22,['16:18:00'],"['16:29:00', '16:35:00', '16:45:00']",[],9826,"['15:18:00', '16:08:00', '16:48:00']",15:00:00
3,4.0,3.462,1.922,"['15:08:00', '16:10:00']",[],8472,['16:48:00'],2015-08-29,[],"['15:11:00', '15:41:00']",[],10252,"['15:37:00', '16:37:00']",15:00:00
4,4.0,3.558,1.888,"['16:39:00', '17:22:00']",[],10252,['17:39:00'],2015-09-13,[],"['17:30:00', '17:40:00', '17:47:00']",[],8197,"['16:45:00', '17:35:00']",16:00:00
5,3.0,3.206,2.304,['15:39:00'],[],8659,"['15:21:00', '15:34:00', '16:36:00']",2015-09-19,[],[],[],10252,"['16:20:00', '16:40:00']",15:00:00
6,6.0,4.122,1.53,"['16:24:00', '16:29:00']",[],10252,[],2015-09-26,[],"['15:02:00', '16:17:00', '16:25:00']",[],8650,[],15:00:00
7,3.0,3.278,2.5,['16:13:00'],[],10194,[],2015-10-03,[],[],[],10252,['15:44:00'],15:00:00
8,9.0,5.192,1.344,['16:12:00'],[],10252,"['16:07:00', '16:20:00', '16:44:00']",2015-10-17,[],['15:34:00'],[],8455,['16:32:00'],15:00:00
9,2.0,3.144,2.938,"['16:26:00', '16:45:00']",[],10003,"['15:29:00', '15:31:00', '16:31:00']",2015-10-24,[],['16:20:00'],[],10252,"['15:31:00', '16:35:00']",15:00:00
10,7.0,4.516,1.434,['21:37:00'],[],10252,"['20:42:00', '21:25:00', '21:48:00']",2015-11-02,[],"['20:03:00', '20:46:00', '21:51:00']",[],8586,[],20:00:00
11,1.0,4.602,7.63,[],[],8456,['14:09:00'],2015-11-08,[],[],[],10252,['15:18:00'],13:30:00
12,6.0,4.02,1.576,[],[],10252,[],2015-11-21,[],"['15:17:00', '15:29:00', '15:43:00', '16:17:00']",[],8668,[],15:00:00
13,2.0,3.18,2.734,"['15:17:00', '16:43:00']",[],9817,"['15:40:00', '16:32:00', '16:44:00', '16:48:00']",2015-11-28,[],"['15:41:00', '16:27:00', '16:47:00']",[],10252,"['16:46:00', '16:48:00']",15:00:00
14,7.0,4.144,1.51,['15:44:00'],[],10252,"['16:47:00', '16:48:00']",2015-12-05,[],['16:31:00'],[],8466,['15:30:00'],15:00:00
15,1.0,4.018,6.348,"['13:38:00', '14:08:00']",[],9825,[],2015-12-13,[],[],[],10252,[],13:30:00
16,3.0,3.396,2.016,['18:49:00'],[],10252,"['19:05:00', '19:07:00', '19:12:00']",2015-12-19,[],['18:08:00'],[],10261,['18:11:00'],17:30:00
17,2.0,3.198,2.648,['15:48:00'],[],8654,"['15:13:00', '16:16:00', '16:32:00']",2015-12-26,[],['16:20:00'],[],10252,"['15:12:00', '16:36:00', '16:48:00']",15:00:00
18,3.0,3.426,2.03,[],[],10252,"['15:42:00', '16:35:00', '16:48:00', '16:48:00', '16:48:00']",2015-12-28,[],"['15:24:00', '16:45:00']",[],9850,"['16:19:00', '16:48:00']",15:00:00
19,3.0,3.178,2.458,"['15:30:00', '16:21:00']",[],10252,"['15:43:00', '16:27:00', '16:45:00']",2016-01-02,[],"['16:30:00', '16:50:00']",[],8472,"['15:26:00', '15:33:00', '16:48:00']",15:00:00
20,2.0,3.16,3.1,['21:01:00'],[],9826,['21:22:00'],2016-01-12,[],[],[],10252,"['21:11:00', '21:23:00']",19:45:00
21,2.0,3.298,3.55,"['17:59:00', '18:03:00']",[],8197,"['19:04:00', '19:13:00']",2016-01-16,[],['19:03:00'],[],10252,"['17:44:00', '18:03:00', '19:13:00']",17:30:00
22,3.0,3.176,2.114,[],[],10252,['15:41:00'],2016-01-23,[],[],[],8659,[],15:00:00
23,4.0,3.434,1.882,[],['20:02:00'],10252,[],2016-02-02,[],"['21:01:00', '21:28:00']",[],8654,"['20:52:00', '21:10:00', '21:13:00']",19:45:00
24,3.0,3.194,2.398,[],[],9850,"['15:12:00', '16:35:00']",2016-02-06,[],"['15:45:00', '16:09:00']",[],10252,[],15:00:00
25,1.0,3.498,4.628,"['14:21:00', '14:30:00', '15:21:00', '15:26:00', '15:28:00', '15:34:00']",[],8650,['15:47:00'],2016-02-14,[],[],[],10252,"['14:48:00', '15:28:00', '15:40:00']",14:05:00
26,5.0,3.618,1.66,['16:37:00'],[],10252,"['15:37:00', '15:45:00', '16:48:00']",2016-02-27,[],"['16:09:00', '16:14:00']",[],10194,[],15:00:00
27,1.0,3.558,4.454,"['19:50:00', '20:15:00', '21:03:00']",[],8668,['20:29:00'],2016-03-01,[],['21:22:00'],[],10252,"['19:58:00', '20:05:00', '20:12:00']",19:45:00
28,15.0,6.516,1.21,[],[],10252,['15:45:00'],2016-03-05,[],"['16:06:00', '16:08:00', '16:18:00', '16:24:00', '16:31:00']",[],8456,[],15:00:00
29,1.0,4.262,7.154,"['16:45:00', '17:06:00']",[],8586,[],2016-03-13,[],[],[],10252,[],16:00:00
30,5.0,3.672,1.658,[],[],10252,"['17:58:00', '19:18:00']",2016-03-19,[],['18:42:00'],[],10003,"['18:48:00', '19:15:00', '19:18:00']",17:30:00
31,1.0,4.02,6.292,"['13:11:00', '13:33:00', '13:49:00', '14:02:00']",[],8455,['13:14:00'],2016-04-02,[],[],['14:28:00'],10252,"['13:13:00', '13:30:00', '14:04:00', '14:21:00', '14:30:00']",12:45:00
32,2.0,3.324,3.488,"['15:47:00', '16:32:00']",[],8678,"['15:27:00', '15:32:00']",2016-04-09,[],['16:43:00'],[],10252,"['15:36:00', '16:48:00']",15:00:00
33,15.0,6.17,1.23,[],[],10252,['16:23:00'],2016-04-16,[],['15:32:00'],[],10260,[],15:00:00
34,1.0,4.0,6.722,"['15:15:00', '15:39:00', '16:29:00', '16:52:00']",[],8466,[],2016-04-23,['15:34:00'],"['15:46:00', '16:43:00']",[],10252,"['16:16:00', '16:40:00']",15:00:00
35,5.0,3.73,1.702,"['15:28:00', '16:06:00']",['16:31:00'],10252,"['15:41:00', '15:45:00', '16:35:00']",2016-04-30,[],"['15:47:00', '16:48:00', '16:51:00']",[],9817,"['16:36:00', '16:40:00']",15:00:00
36,1.0,3.974,5.578,[],[],10261,['16:48:00'],2016-05-07,[],[],[],10252,['16:17:00'],15:00:00
37,17.0,8.37,1.158,['16:51:00'],[],10252,['15:40:00'],2016-05-15,[],"['15:05:00', '16:37:00', '16:38:00']",[],9825,[],15:00:00
