,avg_a_odds,avg_d_odds,avg_h_odds,away_goals,away_reds,away_side,away_yellows,date,disallowed_goals,home_goals,home_reds,home_side,home_yellows,kickoff_time
0,2.0,3.23,2.578,"['15:39:00', '16:07:00', '16:52:00']",[],9826,[],2015-08-08,['16:31:00'],['16:27:00'],[],9850,['15:23:00'],15:00:00
1,1.0,3.774,5.118,['13:46:00'],[],9825,['14:12:00'],2015-08-16,[],"['13:58:00', '14:43:00']",[],9826,['14:15:00'],13:30:00
2,4.0,3.526,1.85,[],[],10252,"['16:13:00', '16:42:00', '16:44:00']",2015-08-22,['16:18:00'],"['16:29:00', '16:35:00', '16:45:00']",[],9826,"['15:18:00', '16:08:00', '16:48:00']",15:00:00
3,9.0,4.902,1.362,"['16:23:00', '16:39:00']",[],9826,['16:31:00'],2015-08-29,[],['16:37:00'],[],8455,['16:29:00'],15:00:00
4,1.0,4.012,5.45,['16:48:00'],[],8456,"['15:26:00', '16:27:00', '16:39:00']",2015-09-12,[],[],[],9826,"['15:18:00', '16:29:00']",15:00:00
5,3.0,3.522,1.988,[],[],9826,"['14:15:00', '14:50:00']",2015-09-20,[],['14:56:00'],[],8586,['15:04:00'],13:30:00
6,2.0,3.252,2.498,['17:29:00'],[],9826,"['17:34:00', '17:39:00', '17:46:00', '17:48:00']",2015-09-27,[],[],[],9817,"['16:39:00', '17:28:00', '17:38:00', '17:40:00']",16:00:00
7,4.0,3.45,1.834,[],[],8659,"['13:01:00', '14:04:00', '14:30:00']",2015-10-03,[],"['14:11:00', '14:32:00']",[],9826,"['13:10:00', '14:22:00', '14:30:00']",12:45:00
8,3.0,3.534,2.012,"['15:22:00', '16:46:00', '16:52:00']",[],8654,"['15:21:00', '15:40:00', '16:48:00']",2015-10-17,[],"['15:25:00', '15:25:00']",['15:44:00'],9826,"['15:32:00', '16:27:00']",15:00:00
9,3.0,3.352,2.242,[],[],9826,['16:45:00'],2015-10-24,[],['16:18:00'],[],8197,"['16:23:00', '16:26:00', '16:48:00']",15:00:00
10,2.0,3.352,3.804,[],[],10260,"['16:05:00', '16:11:00', '16:48:00']",2015-10-31,[],[],[],9826,"['15:18:00', '15:26:00', '16:38:00']",15:00:00
11,5.0,3.688,1.684,"['16:21:00', '17:40:00']",[],9826,"['17:15:00', '17:25:00']",2015-11-08,[],['16:42:00'],[],8650,['17:34:00'],16:00:00
12,6.0,3.902,1.574,['21:38:00'],[],8472,"['21:11:00', '21:15:00', '21:25:00']",2015-11-23,[],[],[],9826,['21:24:00'],20:00:00
13,5.0,3.808,1.708,['15:10:00'],[],10261,['16:39:00'],2015-11-28,[],"['15:14:00', '15:17:00', '15:41:00', '16:05:00', '16:51:00']",[],9826,['15:38:00'],15:00:00
14,3.0,3.446,2.052,['21:34:00'],[],9826,"['21:12:00', '21:45:00']",2015-12-07,[],['21:39:00'],[],8668,['21:46:00'],20:00:00
15,2.0,3.234,2.55,[],[],8466,[],2015-12-12,[],['15:38:00'],[],9826,[],15:00:00
16,3.0,3.2,2.462,"['15:46:00', '16:46:00']",[],9826,[],2015-12-19,[],['16:34:00'],[],10194,"['16:10:00', '16:26:00']",15:00:00
17,2.0,3.33,2.426,[],[],9826,[],2015-12-26,[],[],[],8678,['15:36:00'],15:00:00
18,3.0,3.372,2.04,[],[],10003,"['16:17:00', '16:23:00']",2015-12-28,[],[],[],9826,"['15:34:00', '16:15:00', '16:48:00']",15:00:00
19,2.0,3.338,3.826,"['13:59:00', '14:48:00', '14:54:00']",[],8455,[],2016-01-03,[],[],[],9826,"['13:43:00', '14:45:00', '15:08:00']",13:30:00
20,2.0,3.16,3.1,['21:01:00'],[],9826,['21:22:00'],2016-01-12,[],[],[],10252,"['21:11:00', '21:23:00']",19:45:00
21,8.0,4.908,1.39,[],[],9826,"['16:30:00', '16:48:00']",2016-01-16,[],"['15:22:00', '15:41:00', '16:27:00', '16:42:00']",[],8456,[],15:00:00
22,2.0,3.32,3.486,"['15:30:00', '16:21:00', '16:42:00', '16:53:00']",[],8586,"['16:37:00', '16:48:00']",2016-01-23,[],[],[],9826,"['16:19:00', '16:48:00']",15:00:00
23,3.0,3.19,2.446,"['20:34:00', '21:15:00']",[],8678,"['21:23:00', '21:34:00', '21:39:00', '21:48:00']",2016-02-02,[],['20:27:00'],[],9826,"['20:43:00', '21:09:00', '21:27:00']",20:00:00
24,3.0,3.196,2.242,['16:05:00'],[],9826,"['16:13:00', '16:15:00']",2016-02-06,[],['15:13:00'],[],10003,['16:33:00'],15:00:00
25,3.0,3.196,2.248,"['15:16:00', '16:40:00']",[],9817,['16:35:00'],2016-02-13,[],['15:46:00'],['16:48:00'],9826,[],15:00:00
26,2.0,3.066,2.678,"['18:37:00', '19:08:00']",[],9826,"['17:55:00', '18:52:00']",2016-02-27,[],"['17:42:00', '17:50:00', '18:01:00']",[],8659,"['17:47:00', '19:07:00']",17:30:00
27,3.0,3.232,2.476,"['21:04:00', '21:10:00']",[],9826,['20:30:00'],2016-03-01,[],"['20:21:00', '21:33:00']",[],8472,['20:03:00'],19:45:00
28,2.0,3.32,3.652,"['15:00:00', '15:24:00']",['14:51:00'],8650,"['13:40:00', '14:11:00', '15:14:00']",2016-03-06,[],['14:37:00'],[],9826,['13:42:00'],13:30:00
29,2.0,3.26,2.962,['15:34:00'],[],8197,['15:30:00'],2016-03-19,[],[],[],9826,['15:42:00'],15:00:00
30,4.0,3.45,1.952,"['15:15:00', '16:33:00']",[],9826,"['16:48:00', '16:48:00']",2016-04-02,[],"['15:18:00', '15:41:00']",['16:25:00'],8654,"['15:28:00', '15:29:00']",15:00:00
31,3.0,3.342,2.036,[],[],9850,['15:37:00'],2016-04-09,[],['16:26:00'],[],9826,"['15:21:00', '16:28:00']",15:00:00
32,2.0,3.296,2.888,[],['21:10:00'],8668,"['20:16:00', '21:48:00']",2016-04-13,[],[],[],9826,[],20:00:00
33,9.0,5.264,1.346,['17:40:00'],[],9826,"['17:16:00', '17:31:00']",2016-04-17,[],['16:46:00'],[],9825,[],16:00:00
34,6.0,4.076,1.532,['20:04:00'],[],9826,"['20:06:00', '20:43:00']",2016-04-20,[],['21:13:00'],[],10260,['21:20:00'],20:00:00
35,3.0,3.408,2.006,['16:28:00'],[],9826,[],2016-04-30,[],['16:16:00'],[],10261,"['15:07:00', '16:24:00']",15:00:00
36,3.0,3.376,2.074,['15:27:00'],[],10194,"['15:03:00', '15:21:00', '16:45:00']",2016-05-07,[],"['16:05:00', '16:26:00']",[],9826,"['15:33:00', '16:48:00']",15:00:00
37,9.0,5.248,1.344,['16:22:00'],[],9826,"['16:13:00', '16:17:00']",2016-05-15,[],"['15:43:00', '16:20:00', '16:33:00', '16:45:00']",[],8466,['16:31:00'],15:00:00
