,avg_a_odds,avg_d_odds,avg_h_odds,away_goals,away_reds,away_side,away_yellows,date,disallowed_goals,home_goals,home_reds,home_side,home_yellows,kickoff_time
0,5.0,3.73,1.716,"['15:14:00', '16:41:00']",[],9817,"['15:42:00', '16:24:00']",2015-08-08,[],"['16:34:00', '16:44:00']",[],8668,['16:12:00'],15:00:00
1,4.0,3.45,1.976,"['13:07:00', '13:30:00', '14:27:00']",[],8668,"['13:30:00', '14:18:00']",2015-08-15,[],[],[],8466,"['12:51:00', '13:23:00', '13:52:00', '14:20:00']",12:45:00
2,1.0,3.866,4.85,"['17:18:00', '17:46:00']",[],8456,"['16:42:00', '16:45:00', '17:44:00']",2015-08-23,['16:24:00'],[],[],8668,[],16:00:00
3,4.0,3.474,1.984,[],[],8668,['18:08:00'],2015-08-29,[],[],[],8586,"['18:44:00', '18:47:00', '18:49:00', '19:18:00']",17:30:00
4,2.0,3.434,3.972,['13:21:00'],[],8455,"['14:31:00', '14:33:00']",2015-09-12,[],"['13:02:00', '13:07:00', '14:26:00']",[],8668,"['14:08:00', '14:30:00']",12:45:00
5,3.0,3.328,2.29,[],['16:48:00'],8668,"['16:15:00', '16:33:00']",2015-09-19,[],[],[],10003,"['15:45:00', '16:38:00']",15:00:00
6,2.0,3.238,3.012,"['21:13:00', '21:33:00', '21:42:00']",[],8668,"['21:22:00', '21:28:00', '21:34:00']",2015-09-28,[],"['20:41:00', '21:12:00']",[],8659,[],20:00:00
7,2.0,3.214,2.72,['14:12:00'],[],8650,"['14:05:00', '14:57:00', '15:18:00']",2015-10-04,[],['14:16:00'],[],8668,"['14:05:00', '14:53:00', '15:18:00']",13:30:00
8,2.0,3.27,3.186,"['15:18:00', '15:22:00', '16:20:00']",[],10260,"['16:08:00', '16:10:00']",2015-10-17,[],[],[],8668,"['15:22:00', '16:28:00']",15:00:00
9,7.0,4.584,1.438,['18:14:00'],['19:18:00'],8668,['18:55:00'],2015-10-24,[],"['18:06:00', '18:08:00']",[],9825,"['17:55:00', '18:58:00']",17:30:00
10,7.0,4.222,1.504,"['14:19:00', '14:38:00', '14:43:00']",[],8472,"['13:48:00', '14:42:00']",2015-11-01,[],"['13:49:00', '14:01:00', '14:48:00', '14:50:00', '15:04:00']",[],8668,"['14:41:00', '14:42:00', '15:18:00']",13:30:00
11,2.0,3.358,2.59,['15:43:00'],[],8668,"['15:34:00', '16:17:00']",2015-11-07,[],['15:30:00'],[],8654,['16:48:00'],15:00:00
12,6.0,4.02,1.576,[],[],10252,[],2015-11-21,[],"['15:17:00', '15:29:00', '15:43:00', '16:17:00']",[],8668,[],15:00:00
13,2.0,3.446,2.86,"['15:25:00', '15:35:00', '16:53:00']",[],8668,[],2015-11-28,[],"['16:38:00', '16:45:00', '16:56:00']",[],8678,"['16:40:00', '16:48:00']",15:00:00
14,3.0,3.446,2.052,['21:34:00'],[],9826,"['21:12:00', '21:45:00']",2015-12-07,[],['21:39:00'],[],8668,['21:46:00'],20:00:00
15,2.0,3.392,2.884,['13:00:00'],[],8668,[],2015-12-12,[],['13:50:00'],[],9850,['14:33:00'],12:45:00
16,3.0,3.57,2.084,"['15:27:00', '16:23:00', '16:27:00']",[],8197,['16:39:00'],2015-12-19,[],"['15:32:00', '16:47:00']",[],8668,"['16:19:00', '16:22:00']",15:00:00
17,2.0,3.476,3.204,['19:21:00'],[],8668,"['18:06:00', '18:51:00']",2015-12-26,[],[],[],10261,"['17:41:00', '19:10:00']",17:30:00
18,4.0,3.486,1.942,"['15:17:00', '15:45:00', '16:38:00', '16:49:00']",[],10194,['15:24:00'],2015-12-28,[],"['15:22:00', '16:22:00', '16:29:00']",[],8668,"['15:40:00', '16:48:00']",15:00:00
19,2.0,3.398,2.72,['16:46:00'],[],8586,"['17:27:00', '17:30:00']",2016-01-03,[],['16:22:00'],[],8668,['16:35:00'],16:00:00
20,6.0,4.576,1.518,[],[],8668,['20:53:00'],2016-01-13,[],[],[],8456,[],19:45:00
21,4.0,3.724,1.794,"['16:14:00', '16:49:00']",[],8668,['16:48:00'],2016-01-16,[],"['16:08:00', '16:22:00', '16:24:00', '16:57:00']",[],8455,['16:48:00'],15:00:00
22,5.0,3.704,1.696,"['13:47:00', '13:56:00', '14:04:00']",[],10003,"['14:13:00', '14:40:00', '14:54:00']",2016-01-24,[],[],[],8668,[],13:30:00
23,5.0,3.954,1.664,[],['21:33:00'],10261,"['21:04:00', '21:31:00']",2016-02-03,[],"['20:08:00', '21:31:00', '21:37:00']",[],8668,['21:17:00'],19:45:00
24,2.0,3.272,2.616,"['15:11:00', '15:28:00', '15:42:00']",[],8668,[],2016-02-06,[],[],[],10194,['16:17:00'],15:00:00
25,6.0,4.036,1.522,['15:14:00'],[],8659,"['16:09:00', '16:10:00', '16:34:00', '16:41:00']",2016-02-13,[],[],[],8668,['16:23:00'],15:00:00
26,1.0,3.558,4.454,"['19:50:00', '20:15:00', '21:03:00']",[],8668,['20:29:00'],2016-03-01,[],['21:22:00'],[],10252,"['19:58:00', '20:05:00', '20:12:00']",19:45:00
27,5.0,3.802,1.712,"['16:37:00', '16:40:00', '16:49:00']",[],8654,"['15:37:00', '16:38:00', '16:48:00']",2016-03-05,[],"['15:13:00', '16:14:00', '16:27:00']",['15:34:00'],8668,"['15:16:00', '16:33:00', '16:48:00']",15:00:00
28,2.0,3.528,2.618,"['12:52:00', '13:27:00']",[],9825,[],2016-03-19,[],[],[],8668,[],12:45:00
29,3.0,3.374,2.082,[],[],8668,[],2016-04-03,[],['17:12:00'],[],10260,"['17:19:00', '17:48:00']",16:00:00
30,2.0,3.302,3.414,['15:46:00'],[],8668,['15:43:00'],2016-04-09,[],['15:47:00'],[],9817,"['15:13:00', '16:48:00']",15:00:00
31,2.0,3.296,2.888,[],['21:10:00'],8668,"['20:16:00', '21:48:00']",2016-04-13,[],[],[],9826,[],20:00:00
32,2.0,3.288,2.632,['16:34:00'],[],8466,['16:43:00'],2016-04-16,[],['16:26:00'],[],8668,['15:42:00'],15:00:00
33,4.0,3.856,1.7,[],['21:08:00'],8668,['20:42:00'],2016-04-20,[],"['20:43:00', '20:47:00', '21:19:00', '21:34:00']",[],8650,['20:08:00'],20:00:00
34,3.0,3.58,2.0,['15:09:00'],[],8678,[],2016-04-30,[],"['15:07:00', '16:22:00']",[],8668,['16:20:00'],15:00:00
35,4.0,3.686,1.892,['19:16:00'],[],8668,"['18:14:00', '18:37:00', '18:59:00']",2016-05-07,[],"['17:35:00', '18:03:00', '18:53:00', '19:00:00']",[],8197,[],17:30:00
36,4.0,3.76,1.73,[],[],8668,[],2016-05-11,[],"['20:23:00', '20:27:00', '20:58:00']",[],8472,['21:10:00'],19:45:00
37,4.0,4.016,1.77,[],[],9850,[],2016-05-15,[],"['15:19:00', '15:44:00', '16:06:00']",[],8668,[],15:00:00
