,avg_a_odds,avg_d_odds,avg_h_odds,away_goals,away_reds,away_side,away_yellows,date,disallowed_goals,home_goals,home_reds,home_side,home_yellows,kickoff_time
0,3.0,3.356,1.988,"['16:18:00', '16:29:00']",[],8472,"['15:17:00', '15:42:00', '16:31:00', '16:43:00']",2015-08-08,[],"['15:11:00', '15:18:00', '15:25:00', '16:24:00']",[],8197,"['16:07:00', '16:48:00']",15:00:00
1,3.0,3.364,2.26,"['15:27:00', '15:38:00']",[],8197,"['15:11:00', '16:12:00', '16:46:00']",2015-08-15,[],['16:13:00'],['16:48:00'],8654,['15:40:00'],15:00:00
2,2.0,3.384,2.674,['16:39:00'],[],8586,"['15:29:00', '15:31:00', '16:18:00', '16:42:00']",2015-08-22,[],['16:40:00'],[],8197,['16:48:00'],15:00:00
3,3.0,3.426,2.19,['16:44:00'],[],8197,"['15:13:00', '15:36:00', '16:06:00', '16:48:00']",2015-08-29,[],['15:24:00'],[],8678,"['15:01:00', '16:33:00']",15:00:00
4,4.0,3.558,1.888,"['16:39:00', '17:22:00']",[],10252,['17:39:00'],2015-09-13,[],"['17:30:00', '17:40:00', '17:47:00']",[],8197,"['16:45:00', '17:35:00']",16:00:00
5,2.0,3.282,2.494,"['16:09:00', '16:27:00']",[],8197,"['16:17:00', '16:19:00', '16:36:00', '16:39:00']",2015-09-19,[],"['15:13:00', '15:20:00']",[],10194,['16:28:00'],15:00:00
6,1.0,3.854,4.276,"['15:18:00', '15:33:00', '16:16:00', '16:39:00', '16:51:00']",[],9825,['16:26:00'],2015-09-26,[],"['15:13:00', '16:47:00']",[],8197,['16:30:00'],15:00:00
7,3.0,3.406,2.272,"['15:28:00', '16:06:00']",[],8197,['16:23:00'],2015-10-03,[],['16:27:00'],[],9850,[],15:00:00
8,4.0,3.716,1.762,"['16:25:00', '16:50:00']",[],8197,[],2015-10-17,[],"['15:21:00', '15:38:00']",[],8466,"['15:23:00', '16:35:00']",15:00:00
9,3.0,3.352,2.242,[],[],9826,['16:45:00'],2015-10-24,[],['16:18:00'],[],8197,"['16:23:00', '16:26:00', '16:48:00']",15:00:00
10,2.0,3.272,2.824,"['16:15:00', '16:22:00', '16:35:00']",[],8197,"['16:47:00', '16:48:00']",2015-10-31,[],"['15:30:00', '16:42:00']",[],8659,[],15:00:00
11,4.0,3.628,1.852,['16:34:00'],[],9817,['16:23:00'],2015-11-07,[],"['16:11:00', '16:23:00']",[],8197,[],15:00:00
12,2.0,3.46,2.786,"['15:46:00', '16:20:00', '16:41:00']",[],8197,['15:31:00'],2015-11-21,[],[],[],10261,"['15:36:00', '16:06:00', '16:34:00', '16:37:00']",15:00:00
13,2.0,3.37,3.082,['18:16:00'],[],10260,['17:44:00'],2015-11-28,[],['17:54:00'],[],8197,[],17:30:00
14,2.0,3.298,2.686,"['15:05:00', '15:22:00', '16:26:00']",[],8197,"['15:24:00', '16:28:00', '16:48:00']",2015-12-05,[],[],[],10003,"['16:06:00', '16:32:00']",15:00:00
15,2.0,3.398,3.102,['21:35:00'],[],8455,[],2015-12-14,[],"['20:34:00', '21:06:00']",[],8197,"['21:04:00', '21:09:00']",20:00:00
16,3.0,3.57,2.084,"['15:27:00', '16:23:00', '16:27:00']",[],8197,['16:39:00'],2015-12-19,[],"['15:32:00', '16:47:00']",[],8668,"['16:19:00', '16:22:00']",15:00:00
17,3.0,3.724,1.934,[],[],8197,['16:20:00'],2015-12-26,[],['16:21:00'],[],8650,"['15:45:00', '16:10:00']",15:00:00
18,1.0,3.93,4.066,[],[],8456,"['21:09:00', '21:19:00', '21:33:00']",2015-12-29,[],[],[],8197,['21:24:00'],19:45:00
19,4.0,3.58,1.92,[],['16:15:00'],8678,['15:34:00'],2016-01-02,[],['16:17:00'],[],8197,['16:20:00'],15:00:00
20,4.0,3.73,1.756,['21:41:00'],[],8197,[],2016-01-13,[],[],[],8586,['21:37:00'],20:00:00
21,2.0,3.298,3.55,"['17:59:00', '18:03:00']",[],8197,"['19:04:00', '19:13:00']",2016-01-16,[],['19:03:00'],[],10252,"['17:44:00', '18:03:00', '19:13:00']",17:30:00
22,3.0,3.356,2.054,[],[],10194,['16:17:00'],2016-01-23,[],"['15:42:00', '16:24:00', '16:45:00']",[],8197,[],15:00:00
23,2.0,3.288,2.594,[],[],8650,['21:29:00'],2016-02-02,[],"['21:03:00', '21:15:00']",[],8197,[],19:45:00
