,avg_a_odds,avg_d_odds,avg_h_odds,away_goals,away_reds,away_side,away_yellows,date,disallowed_goals,home_goals,home_reds,home_side,home_yellows,kickoff_time
0,2.0,3.332,3.356,['17:44:00'],[],8650,"['16:28:00', '16:40:00', '17:09:00', '17:22:00']",2015-08-09,[],[],[],10194,"['16:04:00', '17:31:00']",16:00:00
1,7.0,4.588,1.464,[],[],8678,"['20:34:00', '21:34:00', '21:35:00', '21:48:00']",2015-08-17,['20:05:00'],['20:26:00'],[],8650,['21:33:00'],20:00:00
2,5.0,3.8,1.744,[],[],8650,"['21:19:00', '21:24:00', '21:37:00', '21:43:00']",2015-08-24,['20:09:00'],[],[],9825,['21:23:00'],20:00:00
3,8.0,5.056,1.368,"['15:03:00', '15:29:00', '16:50:00']",['16:37:00'],8654,"['15:39:00', '16:39:00']",2015-08-29,[],[],['16:11:00'],8650,"['15:45:00', '16:28:00', '16:44:00', '16:48:00']",15:00:00
4,4.0,3.378,1.978,['19:12:00'],[],8650,"['18:36:00', '19:03:00']",2015-09-12,[],"['18:37:00', '18:58:00', '19:14:00']",[],10260,['19:01:00'],17:30:00
5,5.0,3.828,1.672,['17:19:00'],[],9850,"['17:11:00', '17:36:00']",2015-09-20,[],['17:06:00'],[],8650,['16:03:00'],16:00:00
6,6.0,4.122,1.53,"['16:24:00', '16:29:00']",[],10252,[],2015-09-26,[],"['15:02:00', '16:17:00', '16:25:00']",[],8650,[],15:00:00
7,2.0,3.214,2.72,['14:12:00'],[],8650,"['14:05:00', '14:57:00', '15:18:00']",2015-10-04,[],['14:16:00'],[],8668,"['14:05:00', '14:53:00', '15:18:00']",13:30:00
8,2.0,3.388,2.476,[],[],8650,"['13:21:00', '14:33:00']",2015-10-17,[],[],[],8586,['14:02:00'],12:45:00
9,3.0,3.472,2.076,['18:00:00'],['18:03:00'],8466,['18:03:00'],2015-10-25,[],['17:50:00'],[],8650,['17:59:00'],16:15:00
10,3.0,3.388,2.094,"['13:33:00', '14:17:00', '14:26:00']",[],8650,"['13:09:00', '14:01:00', '14:08:00', '14:29:00']",2015-10-31,[],['12:49:00'],[],8455,['14:09:00'],12:45:00
11,5.0,3.688,1.684,"['16:21:00', '17:40:00']",[],9826,"['17:15:00', '17:25:00']",2015-11-08,[],['16:42:00'],[],8650,['17:34:00'],16:00:00
12,5.0,3.84,1.694,"['17:53:00', '18:02:00', '19:09:00']",[],8650,"['18:08:00', '18:35:00', '19:13:00']",2015-11-21,[],"['17:38:00', '18:14:00']",[],8456,[],17:30:00
