,avg_a_odds,avg_d_odds,avg_h_odds,away_goals,away_reds,away_side,away_yellows,date,disallowed_goals,home_goals,home_reds,home_side,home_yellows,kickoff_time
0,1.0,3.846,5.45,"['20:09:00', '20:24:00', '21:17:00']",[],8456,['21:09:00'],2015-08-10,[],[],[],8659,"['20:39:00', '21:15:00', '21:16:00', '21:20:00']",20:00:00
1,3.0,3.412,2.106,[],[],8455,"['17:06:00', '17:39:00']",2015-08-16,[],"['16:31:00', '17:37:00', '17:43:00']",[],8456,"['16:33:00', '16:45:00', '17:09:00', '17:48:00']",16:00:00
2,1.0,3.866,4.85,"['17:18:00', '17:46:00']",[],8456,"['16:42:00', '16:45:00', '17:44:00']",2015-08-23,['16:24:00'],[],[],8668,[],16:00:00
3,13.0,7.2,1.206,[],[],9817,"['15:44:00', '16:21:00']",2015-08-29,[],"['16:05:00', '16:14:00']",[],8456,['15:40:00'],15:00:00
4,1.0,4.012,5.45,['16:48:00'],[],8456,"['15:26:00', '16:27:00', '16:39:00']",2015-09-12,[],[],[],9826,"['15:18:00', '16:29:00']",15:00:00
5,11.0,6.09,1.276,"['17:36:00', '18:01:00']",[],8654,"['17:52:00', '18:15:00']",2015-09-19,[],['18:17:00'],[],8456,['18:42:00'],17:30:00
6,1.0,3.674,4.086,['13:10:00'],[],8456,['13:49:00'],2015-09-26,[],"['13:30:00', '13:53:00', '14:04:00', '14:22:00']",[],8586,"['13:59:00', '14:02:00', '14:08:00', '14:31:00', '14:33:00']",12:45:00
7,12.0,6.53,1.248,['15:18:00'],[],10261,['15:36:00'],2015-10-03,[],"['15:42:00', '16:07:00', '16:09:00', '16:12:00', '16:18:00', '16:20:00']",[],8456,"['15:45:00', '16:40:00', '16:46:00']",15:00:00
8,9.0,5.376,1.338,['15:22:00'],[],8678,['16:45:00'],2015-10-17,['16:51:00'],"['15:07:00', '15:11:00', '15:29:00', '15:48:00', '16:47:00']",[],8456,"['15:27:00', '15:42:00']",15:00:00
9,2.0,3.342,2.608,[],[],8456,"['14:20:00', '14:50:00']",2015-10-25,[],[],[],10260,"['14:44:00', '15:52:00']",14:05:00
10,11.0,5.794,1.29,['16:42:00'],['16:47:00'],9850,"['16:35:00', '16:48:00']",2015-10-31,[],"['16:25:00', '16:47:00', '16:56:00']",[],8456,"['15:34:00', '16:48:00']",15:00:00
11,1.0,4.602,7.63,[],[],8456,['14:09:00'],2015-11-08,[],[],[],10252,['15:18:00'],13:30:00
12,5.0,3.84,1.694,"['17:53:00', '18:02:00', '19:09:00']",[],8650,"['18:08:00', '18:35:00', '19:13:00']",2015-11-21,[],"['17:38:00', '18:14:00']",[],8456,[],17:30:00
13,5.0,4.212,1.584,['16:08:00'],[],8466,['16:14:00'],2015-11-28,[],"['15:09:00', '15:21:00', '16:28:00']",[],8456,"['16:15:00', '16:48:00']",15:00:00
14,1.0,3.792,5.15,[],[],8456,['13:54:00'],2015-12-05,[],"['12:52:00', '13:00:00']",[],10194,[],12:45:00
15,10.0,5.49,1.31,['16:48:00'],[],10003,['15:43:00'],2015-12-12,[],"['15:26:00', '16:50:00']",[],8456,"['16:16:00', '16:18:00', '16:35:00']",15:00:00
16,3.0,3.396,2.396,['21:40:00'],[],8456,"['20:31:00', '21:06:00']",2015-12-21,[],"['20:33:00', '20:46:00']",[],9825,[],20:00:00
17,14.0,6.78,1.21,['16:17:00'],[],8472,['15:36:00'],2015-12-26,[],"['15:12:00', '15:17:00', '15:22:00', '16:12:00', '16:27:00']",[],8456,['15:04:00'],15:00:00
18,1.0,3.93,4.066,[],[],8456,"['21:09:00', '21:19:00', '21:33:00']",2015-12-29,[],[],[],8197,['21:24:00'],19:45:00
19,1.0,3.852,4.928,"['19:10:00', '19:13:00']",[],8456,[],2016-01-02,[],['18:43:00'],[],9817,['18:08:00'],17:30:00
20,6.0,4.576,1.518,[],[],8668,['20:53:00'],2016-01-13,[],[],[],8456,[],19:45:00
21,8.0,4.908,1.39,[],[],9826,"['16:30:00', '16:48:00']",2016-01-16,[],"['15:22:00', '15:41:00', '16:27:00', '16:42:00']",[],8456,[],15:00:00
22,1.0,3.898,4.908,"['17:39:00', '19:09:00']",[],8456,"['18:02:00', '19:17:00', '19:18:00']",2016-01-23,[],"['17:31:00', '18:44:00']",[],8654,"['18:09:00', '18:58:00']",17:30:00
23,1.0,4.496,7.15,['20:01:00'],[],8456,"['21:23:00', '21:33:00', '21:33:00', '21:33:00']",2016-02-02,[],[],[],8472,['21:02:00'],19:45:00
24,5.0,4.012,1.608,"['12:48:00', '13:51:00', '14:03:00']",[],8197,"['13:21:00', '13:49:00']",2016-02-06,[],['14:30:00'],[],8456,"['14:12:00', '14:15:00']",12:45:00
25,3.0,3.522,2.082,"['17:27:00', '17:56:00']",[],8586,"['17:00:00', '17:29:00', '17:49:00']",2016-02-14,[],['17:47:00'],[],8456,['17:20:00'],16:15:00
26,2.0,3.34,2.612,[],[],8456,['21:26:00'],2016-03-02,[],"['20:34:00', '20:41:00', '21:15:00']",[],8650,[],20:00:00
27,15.0,6.516,1.21,[],[],10252,['15:45:00'],2016-03-05,[],"['16:06:00', '16:08:00', '16:18:00', '16:24:00', '16:31:00']",[],8456,[],15:00:00
28,1.0,3.95,5.95,[],[],8456,['13:11:00'],2016-03-12,[],[],[],9850,"['12:57:00', '13:53:00', '14:17:00']",12:45:00
29,4.0,3.62,1.834,['16:16:00'],[],10260,['16:10:00'],2016-03-20,[],[],[],8456,['17:34:00'],16:00:00
30,2.0,3.49,3.71,"['15:07:00', '15:12:00', '15:19:00', '16:51:00']",[],8456,['16:47:00'],2016-04-02,[],[],[],8678,[],15:00:00
31,9.0,5.044,1.334,['17:36:00'],[],8659,['18:03:00'],2016-04-09,[],"['17:49:00', '18:54:00']",[],8456,[],17:30:00
32,2.0,3.348,2.664,"['18:03:00', '18:42:00', '19:09:00']",[],8456,"['17:59:00', '18:15:00', '18:35:00']",2016-04-16,[],[],['19:07:00'],8455,"['18:50:00', '19:00:00']",17:30:00
33,1.0,4.264,5.908,['19:59:00'],[],8456,"['21:10:00', '21:32:00']",2016-04-19,[],['20:16:00'],[],10261,"['20:28:00', '20:59:00', '21:33:00']",19:45:00
34,10.0,5.582,1.314,[],[],10194,[],2016-04-23,[],"['13:20:00', '13:28:00', '14:07:00', '14:17:00']",[],8456,[],12:45:00
35,2.0,3.328,2.72,"['17:14:00', '18:06:00']",[],8456,['16:50:00'],2016-05-01,[],"['16:55:00', '16:58:00', '17:45:00', '17:56:00']",[],8466,"['17:00:00', '17:42:00']",16:30:00
36,2.0,3.426,2.518,"['16:10:00', '17:26:00']",[],9825,['17:29:00'],2016-05-08,[],"['16:08:00', '17:09:00']",[],8456,"['17:48:00', '17:48:00']",16:00:00
37,1.0,4.54,6.042,['15:05:00'],[],8456,"['15:41:00', '15:45:00', '16:25:00']",2016-05-15,[],['15:46:00'],[],10003,['16:32:00'],15:00:00
