,avg_a_odds,avg_d_odds,avg_h_odds,away_goals,away_reds,away_side,away_yellows,date,disallowed_goals,home_goals,home_reds,home_side,home_yellows,kickoff_time
0,5.0,3.938,1.648,['13:07:00'],[],8586,"['13:12:00', '14:19:00', '14:33:00']",2015-08-08,[],[],[],10260,"['14:12:00', '14:33:00']",12:45:00
1,1.0,3.716,5.432,['20:14:00'],[],10260,"['21:17:00', '21:27:00']",2015-08-14,[],[],[],10252,"['21:14:00', '21:33:00']",19:45:00
2,9.0,5.08,1.366,[],[],10261,"['13:05:00', '14:00:00']",2015-08-22,[],[],[],10260,"['13:04:00', '14:13:00']",12:45:00
3,2.0,3.25,3.45,['17:06:00'],[],10260,"['16:38:00', '16:41:00']",2015-08-30,[],"['17:19:00', '17:24:00']",[],10003,"['16:43:00', '17:38:00']",16:00:00
4,4.0,3.378,1.978,['19:12:00'],[],8650,"['18:36:00', '19:03:00']",2015-09-12,[],"['18:37:00', '18:58:00', '19:14:00']",[],10260,['19:01:00'],17:30:00
5,2.0,3.2,3.124,"['16:34:00', '17:08:00', '17:26:00']",[],10260,[],2015-09-20,[],"['16:13:00', '17:44:00']",[],8466,"['17:31:00', '17:36:00']",16:00:00
6,14.0,6.68,1.218,[],[],8472,"['15:38:00', '16:08:00', '16:43:00']",2015-09-26,[],"['15:49:00', '16:04:00', '16:48:00']",[],10260,[],15:00:00
7,3.0,3.594,2.012,[],[],10260,"['16:22:00', '16:30:00', '17:13:00']",2015-10-04,[],"['16:06:00', '16:07:00', '16:19:00']",[],9825,['17:09:00'],16:00:00
8,2.0,3.27,3.186,"['15:18:00', '15:22:00', '16:20:00']",[],10260,"['16:08:00', '16:10:00']",2015-10-17,[],[],[],8668,"['15:22:00', '16:28:00']",15:00:00
9,2.0,3.342,2.608,[],[],8456,"['14:20:00', '14:50:00']",2015-10-25,[],[],[],10260,"['14:44:00', '15:52:00']",14:05:00
10,2.0,3.352,3.804,[],[],10260,"['16:05:00', '16:11:00', '16:48:00']",2015-10-31,[],[],[],9826,"['15:18:00', '15:26:00', '16:38:00']",15:00:00
