,avg_a_odds,avg_d_odds,avg_h_odds,away_goals,away_reds,away_side,away_yellows,date,disallowed_goals,home_goals,home_reds,home_side,home_yellows,kickoff_time
0,2.0,3.226,2.828,"['13:54:00', '15:07:00']",[],8466,"['13:42:00', '14:48:00', '15:15:00', '15:18:00']",2015-08-09,[],"['14:12:00', '14:36:00']",[],10261,"['14:43:00', '15:03:00']",13:30:00
1,4.0,3.492,1.948,[],['15:41:00'],10261,"['15:18:00', '16:42:00']",2015-08-15,[],"['15:09:00', '16:10:00']",[],10003,"['16:07:00', '16:18:00']",15:00:00
2,9.0,5.08,1.366,[],[],10261,"['13:05:00', '14:00:00']",2015-08-22,[],[],[],10260,"['13:04:00', '14:13:00']",12:45:00
3,1.0,3.952,5.826,[],[],9825,['13:52:00'],2015-08-29,[],['13:55:00'],['13:01:00'],10261,"['12:48:00', '13:04:00', '13:11:00', '13:51:00', '13:52:00', '14:33:00']",12:45:00
4,3.0,3.386,2.246,[],[],10261,"['20:30:00', '21:15:00']",2015-09-14,[],"['20:09:00', '21:06:00']",[],8654,[],20:00:00
5,2.0,3.292,2.498,"['15:10:00', '15:28:00']",[],9817,"['15:36:00', '16:38:00']",2015-09-19,[],['16:20:00'],[],10261,['16:47:00'],15:00:00
6,1.0,3.972,5.946,"['19:07:00', '19:14:00']",[],8455,"['18:56:00', '19:18:00']",2015-09-26,[],"['18:12:00', '18:48:00']",[],10261,['18:04:00'],17:30:00
7,12.0,6.53,1.248,['15:18:00'],[],10261,['15:36:00'],2015-10-03,[],"['15:42:00', '16:07:00', '16:09:00', '16:12:00', '16:18:00', '16:20:00']",[],8456,"['15:45:00', '16:40:00', '16:46:00']",15:00:00
8,2.0,3.328,2.604,"['16:20:00', '16:34:00']",[],9850,['17:24:00'],2015-10-18,[],"['16:14:00', '16:26:00', '16:33:00', '17:22:00', '17:24:00', '17:43:00']",[],10261,['16:06:00'],16:00:00
9,2.0,3.302,2.592,[],['12:45:00'],10261,"['12:14:00', '12:45:00']",2015-10-25,[],"['12:48:00', '13:23:00', '13:44:00']",[],8472,[],12:00:00
