,avg_a_odds,avg_d_odds,avg_h_odds,away_goals,away_reds,away_side,away_yellows,date,disallowed_goals,home_goals,home_reds,home_side,home_yellows,kickoff_time
0,2.0,3.23,2.578,"['15:39:00', '16:07:00', '16:52:00']",[],9826,[],2015-08-08,['16:31:00'],['16:27:00'],[],9850,['15:23:00'],15:00:00
1,3.0,3.21,2.484,"['15:26:00', '15:38:00', '16:16:00']",[],9850,"['15:07:00', '16:06:00']",2015-08-15,[],['16:46:00'],[],8472,['15:09:00'],15:00:00
2,3.0,3.278,2.338,['15:11:00'],[],10194,['16:43:00'],2015-08-22,[],['15:28:00'],[],9850,"['15:45:00', '16:05:00', '16:20:00', '16:40:00']",15:00:00
3,3.0,3.418,2.05,[],['14:01:00'],9850,['13:58:00'],2015-08-30,[],"['14:16:00', '14:53:00', '14:56:00']",[],8466,[],13:30:00
4,3.0,3.356,2.392,['16:39:00'],[],8678,"['15:24:00', '15:25:00', '16:19:00']",2015-09-12,[],"['15:35:00', '16:10:00', '16:25:00']",[],9850,"['15:20:00', '15:30:00']",15:00:00
5,5.0,3.828,1.672,['17:19:00'],[],9850,"['17:11:00', '17:36:00']",2015-09-20,[],['17:06:00'],[],8650,['16:03:00'],16:00:00
6,3.0,3.378,2.244,"['15:09:00', '16:41:00']",[],9850,[],2015-09-26,[],"['15:33:00', '16:51:00']",[],8654,[],15:00:00
7,3.0,3.406,2.272,"['15:28:00', '16:06:00']",[],8197,['16:23:00'],2015-10-03,[],['16:27:00'],[],9850,[],15:00:00
8,2.0,3.328,2.604,"['16:20:00', '16:34:00']",[],9850,['17:24:00'],2015-10-18,[],"['16:14:00', '16:26:00', '16:33:00', '17:22:00', '17:24:00', '17:43:00']",[],10261,['16:06:00'],16:00:00
9,4.0,3.358,2.014,['16:05:00'],[],8659,"['16:30:00', '16:36:00']",2015-10-24,[],[],[],9850,['15:22:00'],15:00:00
10,11.0,5.794,1.29,['16:42:00'],['16:47:00'],9850,"['16:35:00', '16:48:00']",2015-10-31,[],"['16:25:00', '16:47:00', '16:56:00']",[],8456,"['15:34:00', '16:48:00']",15:00:00
11,2.0,3.314,2.472,[],[],10003,[],2015-11-07,[],['16:28:00'],[],9850,['16:48:00'],15:00:00
12,8.0,4.722,1.414,[],[],9850,"['15:31:00', '16:05:00', '16:20:00', '16:27:00']",2015-11-21,[],['16:22:00'],[],8455,['15:35:00'],15:00:00
13,1.0,4.168,5.574,['16:45:00'],[],9825,['17:27:00'],2015-11-29,[],['16:58:00'],[],9850,['17:30:00'],16:15:00
14,3.0,3.316,2.152,[],[],9850,"['15:29:00', '16:35:00', '16:45:00']",2015-12-05,['15:37:00'],"['15:30:00', '16:50:00']",[],9817,"['16:15:00', '16:18:00', '16:48:00']",15:00:00
15,2.0,3.392,2.884,['13:00:00'],[],8668,[],2015-12-12,[],['13:50:00'],[],9850,['14:33:00'],12:45:00
16,8.0,4.38,1.45,"['15:38:00', '16:13:00']",[],9850,"['15:27:00', '16:10:00']",2015-12-19,[],['16:25:00'],[],10260,[],15:00:00
17,7.0,4.524,1.424,[],[],9850,"['15:45:00', '16:35:00']",2015-12-26,[],"['15:26:00', '15:42:00', '16:38:00']",[],8586,['16:32:00'],15:00:00
18,3.0,3.426,2.03,[],[],10252,"['15:42:00', '16:35:00', '16:48:00', '16:48:00', '16:48:00']",2015-12-28,[],"['15:24:00', '16:45:00']",[],9850,"['16:19:00', '16:48:00']",15:00:00
19,2.0,3.328,3.066,[],['16:31:00'],8466,['15:35:00'],2016-01-02,[],['16:34:00'],[],9850,['16:46:00'],15:00:00
20,4.0,3.308,2.022,"['20:58:00', '21:21:00']",['20:16:00'],9850,['21:21:00'],2016-01-13,[],"['20:52:00', '21:10:00']",[],10194,[],19:45:00
21,4.0,3.476,1.9,[],[],9850,['15:43:00'],2016-01-16,[],"['15:10:00', '16:12:00', '16:33:00']",[],8678,['16:06:00'],15:00:00
22,1.0,3.43,4.162,"['13:04:00', '13:59:00', '14:06:00', '14:18:00', '14:38:00']",[],8650,['14:33:00'],2016-01-23,[],"['13:14:00', '13:26:00', '13:57:00', '14:36:00']",[],9850,[],12:45:00
23,1.0,3.588,4.404,"['19:47:00', '20:15:00', '21:33:00']",[],8586,"['21:01:00', '21:31:00']",2016-02-02,[],[],[],9850,"['20:14:00', '21:32:00']",19:45:00
24,3.0,3.194,2.398,[],[],9850,"['15:12:00', '16:35:00']",2016-02-06,[],"['15:45:00', '16:09:00']",[],10252,[],15:00:00
25,3.0,3.314,2.422,"['16:32:00', '16:35:00']",[],8654,"['15:23:00', '15:32:00']",2016-02-13,[],"['16:13:00', '16:23:00']",[],9850,"['15:34:00', '16:48:00']",15:00:00
26,6.0,4.27,1.514,[],[],9850,"['16:06:00', '16:10:00']",2016-02-27,[],['16:47:00'],[],8197,[],15:00:00
27,1.0,3.896,5.362,"['19:46:00', '20:32:00']",[],8455,"['20:30:00', '21:16:00']",2016-03-01,[],['21:11:00'],[],9850,"['19:58:00', '20:24:00', '21:19:00']",19:45:00
28,4.0,3.334,2.0,[],[],9850,"['15:13:00', '15:17:00', '16:04:00', '16:08:00', '16:15:00']",2016-03-05,[],['16:19:00'],[],10003,"['15:34:00', '16:48:00']",15:00:00
29,1.0,3.95,5.95,[],[],8456,['13:11:00'],2016-03-12,[],[],[],9850,"['12:57:00', '13:53:00', '14:17:00']",12:45:00
30,3.0,3.188,2.242,['16:08:00'],[],9850,"['16:40:00', '16:48:00']",2016-03-19,[],[],[],8659,['16:48:00'],15:00:00
31,3.0,3.302,2.198,"['16:29:00', '16:45:00']",[],10261,[],2016-04-02,['15:17:00'],"['15:48:00', '16:32:00', '16:51:00']",[],9850,[],15:00:00
32,3.0,3.342,2.036,[],[],9850,['15:37:00'],2016-04-09,[],['16:26:00'],[],9826,"['15:21:00', '16:28:00']",15:00:00
33,3.0,3.262,2.356,"['13:26:00', '13:56:00', '14:34:00']",[],8472,"['13:17:00', '14:02:00']",2016-04-16,[],[],[],9850,"['13:25:00', '14:02:00']",12:45:00
