,avg_a_odds,avg_d_odds,avg_h_odds,away_goals,away_reds,away_side,away_yellows,date,disallowed_goals,home_goals,home_reds,home_side,home_yellows,kickoff_time
0,2.0,3.226,2.828,"['13:54:00', '15:07:00']",[],8466,"['13:42:00', '14:48:00', '15:15:00', '15:18:00']",2015-08-09,[],"['14:12:00', '14:36:00']",[],10261,"['14:43:00', '15:03:00']",13:30:00
1,4.0,3.45,1.976,"['13:07:00', '13:30:00', '14:27:00']",[],8668,"['13:30:00', '14:18:00']",2015-08-15,[],[],[],8466,"['12:51:00', '13:23:00', '13:52:00', '14:20:00']",12:45:00
2,2.0,3.262,2.732,[],[],8466,"['16:28:00', '17:15:00']",2015-08-23,[],[],[],9817,[],16:00:00
3,3.0,3.418,2.05,[],['14:01:00'],9850,['13:58:00'],2015-08-30,[],"['14:16:00', '14:53:00', '14:56:00']",[],8466,[],13:30:00
4,2.0,3.152,3.102,[],[],8466,[],2015-09-12,[],[],[],8659,['16:37:00'],15:00:00
5,2.0,3.2,3.124,"['16:34:00', '17:08:00', '17:26:00']",[],10260,[],2015-09-20,[],"['16:13:00', '17:44:00']",[],8466,"['17:31:00', '17:36:00']",16:00:00
6,3.0,3.332,2.048,"['16:12:00', '16:41:00']",[],10003,['16:35:00'],2015-09-26,[],"['15:11:00', '16:19:00']",[],8466,"['15:43:00', '16:40:00', '16:41:00']",15:00:00
7,4.0,3.602,1.824,"['18:14:00', '18:48:00', '19:01:00']",[],8466,"['17:39:00', '17:56:00', '18:04:00', '19:06:00', '19:14:00']",2015-10-03,[],['17:40:00'],[],8455,"['18:13:00', '18:45:00']",17:30:00
8,4.0,3.716,1.762,"['16:25:00', '16:50:00']",[],8197,[],2015-10-17,[],"['15:21:00', '15:38:00']",[],8466,"['15:23:00', '16:35:00']",15:00:00
9,3.0,3.472,2.076,['18:00:00'],['18:03:00'],8466,['18:03:00'],2015-10-25,[],['17:50:00'],[],8650,['17:59:00'],16:15:00
10,6.0,4.14,1.558,[],[],8678,"['17:15:00', '17:22:00']",2015-11-01,[],"['16:31:00', '16:36:00']",['17:36:00'],8466,['16:21:00'],16:00:00
11,1.0,3.602,4.808,['16:27:00'],[],8466,"['15:12:00', '16:48:00', '16:33:00']",2015-11-07,[],[],[],8472,['15:44:00'],15:00:00
12,6.0,3.852,1.598,['15:10:00'],[],10194,[],2015-11-21,[],[],[],8466,"['16:36:00', '16:48:00']",15:00:00
13,5.0,4.212,1.584,['16:08:00'],[],8466,['16:14:00'],2015-11-28,[],"['15:09:00', '15:21:00', '16:28:00']",[],8456,"['16:15:00', '16:48:00']",15:00:00
14,7.0,4.144,1.51,['15:44:00'],[],10252,"['16:47:00', '16:48:00']",2015-12-05,[],['16:31:00'],[],8466,['15:30:00'],15:00:00
15,2.0,3.234,2.55,[],[],8466,[],2015-12-12,[],['15:38:00'],[],9826,[],15:00:00
