,avg_a_odds,avg_d_odds,avg_h_odds,away_goals,away_reds,away_side,away_yellows,date,disallowed_goals,home_goals,home_reds,home_side,home_yellows,kickoff_time
0,2.0,3.332,3.356,['17:44:00'],[],8650,"['16:28:00', '16:40:00', '17:09:00', '17:22:00']",2015-08-09,[],[],[],10194,"['16:04:00', '17:31:00']",16:00:00
1,4.0,3.65,1.798,"['16:36:00', '16:41:00']",[],10194,"['15:08:00', '16:32:00']",2015-08-15,[],"['15:19:00', '15:47:00']",[],8586,"['15:24:00', '16:06:00']",15:00:00
2,3.0,3.278,2.338,['15:11:00'],[],10194,['16:43:00'],2015-08-22,[],['15:28:00'],[],9850,"['15:45:00', '16:05:00', '16:20:00', '16:40:00']",15:00:00
3,4.0,3.37,1.96,['15:48:00'],[],8659,"['15:25:00', '16:27:00', '16:42:00', '16:48:00']",2015-08-29,[],[],"['15:25:00', '15:31:00']",10194,['16:24:00'],15:00:00
4,11.0,5.624,1.294,[],[],10194,['16:39:00'],2015-09-12,[],"['15:31:00', '16:43:00']",[],9825,['15:38:00'],15:00:00
5,2.0,3.282,2.494,"['16:09:00', '16:27:00']",[],8197,"['16:17:00', '16:19:00', '16:36:00', '16:39:00']",2015-09-19,[],"['15:13:00', '15:20:00']",[],10194,['16:28:00'],15:00:00
6,2.0,3.292,2.504,['16:34:00'],[],8678,[],2015-09-26,[],"['15:33:00', '16:42:00']",[],10194,['16:48:00'],15:00:00
7,3.0,3.278,2.5,['16:13:00'],[],10194,[],2015-10-03,[],[],[],10252,['15:44:00'],15:00:00
8,4.0,3.302,2.056,['20:04:00'],[],10194,"['20:45:00', '21:24:00']",2015-10-19,['21:14:00'],[],[],10003,"['20:41:00', '21:15:00']",20:00:00
9,3.0,3.246,2.11,"['15:43:00', '16:27:00']",[],9817,['16:47:00'],2015-10-24,[],[],[],10194,"['16:35:00', '16:47:00', '16:48:00']",15:00:00
10,3.0,3.326,2.398,[],[],10194,"['16:21:00', '16:40:00', '16:48:00']",2015-10-31,[],[],[],10261,['16:21:00'],15:00:00
11,2.0,3.372,3.782,[],[],8455,['18:15:00'],2015-11-07,[],['18:41:00'],[],10194,"['18:14:00', '18:45:00', '19:18:00']",17:30:00
12,6.0,3.852,1.598,['15:10:00'],[],10194,[],2015-11-21,[],[],[],8466,"['16:36:00', '16:48:00']",15:00:00
13,2.0,3.206,3.132,[],['16:05:00'],10194,"['15:33:00', '15:42:00', '16:39:00']",2015-11-28,[],"['16:40:00', '16:42:00']",[],8472,[],15:00:00
14,1.0,3.792,5.15,[],[],8456,['13:54:00'],2015-12-05,[],"['12:52:00', '13:00:00']",[],10194,[],12:45:00
15,2.0,3.186,2.606,[],[],10194,"['15:37:00', '16:21:00']",2015-12-12,[],[],[],8654,['16:25:00'],15:00:00
16,3.0,3.2,2.462,"['15:46:00', '16:46:00']",[],9826,[],2015-12-19,[],['16:34:00'],[],10194,"['16:10:00', '16:26:00']",15:00:00
17,2.0,3.192,3.196,[],[],10260,"['13:10:00', '14:26:00']",2015-12-26,[],"['13:04:00', '13:11:00']",[],10194,['13:52:00'],12:45:00
18,4.0,3.486,1.942,"['15:17:00', '15:45:00', '16:38:00', '16:49:00']",[],10194,['15:24:00'],2015-12-28,[],"['15:22:00', '16:22:00', '16:29:00']",[],8668,"['15:40:00', '16:48:00']",15:00:00
19,2.0,3.12,2.782,['16:39:00'],['16:42:00'],10194,['16:34:00'],2016-01-02,[],"['16:19:00', '16:51:00']",[],8659,['16:48:00'],15:00:00
20,4.0,3.308,2.022,"['20:58:00', '21:21:00']",['20:16:00'],9850,['21:21:00'],2016-01-13,[],"['20:52:00', '21:10:00']",[],10194,[],19:45:00
21,1.0,3.482,4.19,[],[],9825,[],2016-01-17,[],[],[],10194,[],16:15:00
22,3.0,3.356,2.054,[],[],10194,['16:17:00'],2016-01-23,[],"['15:42:00', '16:24:00', '16:45:00']",[],8197,[],15:00:00
23,5.0,3.674,1.674,[],[],10194,['21:43:00'],2016-02-02,[],"['20:14:00', '20:23:00', '21:11:00']",[],10260,"['21:13:00', '21:18:00']",20:00:00
24,2.0,3.272,2.616,"['15:11:00', '15:28:00', '15:42:00']",[],8668,[],2016-02-06,[],[],[],10194,['16:17:00'],15:00:00
