,avg_a_odds,avg_d_odds,avg_h_odds,away_goals,away_reds,away_side,away_yellows,date,disallowed_goals,home_goals,home_reds,home_side,home_yellows,kickoff_time
0,3.0,3.356,1.988,"['16:18:00', '16:29:00']",[],8472,"['15:17:00', '15:42:00', '16:31:00', '16:43:00']",2015-08-08,[],"['15:11:00', '15:18:00', '15:25:00', '16:24:00']",[],8197,"['16:07:00', '16:48:00']",15:00:00
1,3.0,3.21,2.484,"['15:26:00', '15:38:00', '16:16:00']",[],9850,"['15:07:00', '16:06:00']",2015-08-15,[],['16:46:00'],[],8472,['15:09:00'],15:00:00
2,2.0,3.31,3.808,['15:48:00'],[],10003,"['16:12:00', '16:48:00']",2015-08-22,[],['16:20:00'],[],8472,"['15:18:00', '15:21:00', '16:05:00', '16:40:00']",15:00:00
3,4.0,3.462,1.922,"['15:08:00', '16:10:00']",[],8472,['16:48:00'],2015-08-29,[],"['15:11:00', '15:41:00']",[],10252,"['15:37:00', '16:37:00']",15:00:00
4,1.0,3.5,4.12,['15:10:00'],[],8586,['13:46:00'],2015-09-13,[],[],[],8472,"['13:51:00', '14:12:00']",13:30:00
5,5.0,3.808,1.718,[],['16:32:00'],8472,"['15:15:00', '15:23:00', '15:43:00', '16:21:00', '16:42:00']",2015-09-19,['16:12:00'],"['15:04:00', '15:09:00']",[],8678,"['16:38:00', '16:48:00']",15:00:00
6,14.0,6.68,1.218,[],[],8472,"['15:38:00', '16:08:00', '16:43:00']",2015-09-26,[],"['15:49:00', '16:04:00', '16:48:00']",[],10260,[],15:00:00
7,2.0,3.372,3.086,"['15:46:00', '16:18:00']",[],8654,"['15:02:00', '15:24:00', '15:35:00', '16:30:00']",2015-10-03,[],"['15:10:00', '15:22:00']",['16:15:00'],8472,"['15:32:00', '15:43:00', '16:32:00']",15:00:00
8,4.0,3.264,2.066,[],[],8472,"['16:13:00', '16:42:00']",2015-10-17,[],['16:12:00'],[],8659,"['15:09:00', '16:14:00']",15:00:00
9,2.0,3.302,2.592,[],['12:45:00'],10261,"['12:14:00', '12:45:00']",2015-10-25,[],"['12:48:00', '13:23:00', '13:44:00']",[],8472,[],12:00:00
