,avg_a_odds,avg_d_odds,avg_h_odds,away_goals,away_reds,away_side,away_yellows,date,disallowed_goals,home_goals,home_reds,home_side,home_yellows,kickoff_time
0,10.0,4.634,1.39,"['17:59:00', '18:00:00', '18:43:00']",[],10003,"['17:49:00', '18:15:00', '19:18:00']",2015-08-08,['18:56:00'],['17:53:00'],['18:40:00'],8455,['18:42:00'],17:30:00
1,4.0,3.492,1.948,[],['15:41:00'],10261,"['15:18:00', '16:42:00']",2015-08-15,[],"['15:09:00', '16:10:00']",[],10003,"['16:07:00', '16:18:00']",15:00:00
2,2.0,3.31,3.808,['15:48:00'],[],10003,"['16:12:00', '16:48:00']",2015-08-22,[],['16:20:00'],[],8472,"['15:18:00', '15:21:00', '16:05:00', '16:40:00']",15:00:00
3,2.0,3.25,3.45,['17:06:00'],[],10260,"['16:38:00', '16:41:00']",2015-08-30,[],"['17:19:00', '17:24:00']",[],10003,"['16:43:00', '17:38:00']",16:00:00
4,2.0,3.238,2.74,[],[],10003,['16:25:00'],2015-09-12,[],['16:17:00'],['16:22:00'],9817,['16:48:00'],15:00:00
5,3.0,3.328,2.29,[],['16:48:00'],8668,"['16:15:00', '16:33:00']",2015-09-19,[],[],[],10003,"['15:45:00', '16:38:00']",15:00:00
6,3.0,3.332,2.048,"['16:12:00', '16:41:00']",[],10003,['16:35:00'],2015-09-26,[],"['15:11:00', '16:19:00']",[],8466,"['15:43:00', '16:40:00', '16:41:00']",15:00:00
7,2.0,3.246,2.688,"['16:27:00', '16:31:00', '17:23:00']",[],8586,"['17:11:00', '17:37:00', '17:41:00', '17:48:00']",2015-10-04,[],['16:16:00'],[],10003,['16:26:00'],16:00:00
8,4.0,3.302,2.056,['20:04:00'],[],10194,"['20:45:00', '21:24:00']",2015-10-19,['21:14:00'],[],[],10003,"['20:41:00', '21:15:00']",20:00:00
9,2.0,3.144,2.938,"['16:26:00', '16:45:00']",[],10003,"['15:29:00', '15:31:00', '16:31:00']",2015-10-24,[],['16:20:00'],[],10252,"['15:31:00', '16:35:00']",15:00:00
10,1.0,3.766,4.86,"['16:07:00', '16:26:00', '16:31:00']",[],9825,[],2015-10-31,[],[],[],10003,"['16:15:00', '16:47:00']",15:00:00
11,2.0,3.314,2.472,[],[],10003,[],2015-11-07,[],['16:28:00'],[],9850,['16:48:00'],15:00:00
12,4.0,3.478,1.906,"['15:10:00', '15:26:00']",[],8678,"['15:30:00', '16:09:00']",2015-11-21,['15:18:00'],"['15:28:00', '15:39:00']",[],10003,"['16:30:00', '16:45:00', '16:46:00']",15:00:00
13,7.0,4.406,1.474,[],[],10003,['17:43:00'],2015-11-29,[],['17:35:00'],[],8650,"['16:40:00', '17:38:00', '18:03:00']",16:15:00
14,2.0,3.298,2.686,"['15:05:00', '15:22:00', '16:26:00']",[],8197,"['15:24:00', '16:28:00', '16:48:00']",2015-12-05,[],[],[],10003,"['16:06:00', '16:32:00']",15:00:00
15,10.0,5.49,1.31,['16:48:00'],[],10003,['15:43:00'],2015-12-12,[],"['15:26:00', '16:50:00']",[],8456,"['16:16:00', '16:18:00', '16:35:00']",15:00:00
16,3.0,3.322,2.1,[],[],8654,['17:45:00'],2015-12-20,[],[],[],10003,[],16:00:00
17,4.0,3.314,1.948,[],[],8659,"['15:41:00', '16:22:00', '16:44:00']",2015-12-26,[],['15:09:00'],[],10003,['16:44:00'],15:00:00
18,3.0,3.372,2.04,[],[],10003,"['16:17:00', '16:23:00']",2015-12-28,[],[],[],9826,"['15:34:00', '16:15:00', '16:48:00']",15:00:00
19,7.0,3.936,1.544,['16:28:00'],[],10003,['16:22:00'],2016-01-02,[],"['16:06:00', '16:35:00']",[],10260,"['15:42:00', '16:43:00']",15:00:00
20,4.0,3.602,1.778,"['19:48:00', '21:04:00', '21:28:00']",[],8472,"['21:10:00', '21:22:00']",2016-01-13,[],"['20:06:00', '20:25:00', '20:52:00']",['20:22:00'],10003,[],19:45:00
21,3.0,3.202,2.4,[],[],9817,"['20:22:00', '20:33:00']",2016-01-18,[],['20:27:00'],[],10003,"['21:20:00', '21:48:00']",20:00:00
22,5.0,3.704,1.696,"['13:47:00', '13:56:00', '14:04:00']",[],10003,"['14:13:00', '14:40:00', '14:54:00']",2016-01-24,[],[],[],8668,[],13:30:00
23,3.0,3.028,2.606,['21:22:00'],[],10003,[],2016-02-02,[],['21:50:00'],[],8659,[],20:00:00
24,3.0,3.196,2.242,['16:05:00'],[],9826,"['16:13:00', '16:15:00']",2016-02-06,[],['15:13:00'],[],10003,['16:33:00'],15:00:00
25,2.0,3.182,3.088,['16:27:00'],[],8466,"['15:32:00', '16:22:00', '16:48:00']",2016-02-13,[],[],[],10003,[],15:00:00
26,8.0,4.16,1.442,['14:24:00'],[],10003,"['14:33:00', '14:47:00', '15:21:00']",2016-02-28,[],"['15:33:00', '15:40:00']",[],8586,"['15:19:00', '15:53:00']",14:05:00
27,9.0,4.972,1.362,"['20:17:00', '21:17:00']",[],10003,"['20:25:00', '21:20:00']",2016-03-02,[],['20:00:00'],[],9825,[],19:45:00
28,4.0,3.334,2.0,[],[],9850,"['15:13:00', '15:17:00', '16:04:00', '16:08:00', '16:15:00']",2016-03-05,[],['16:19:00'],[],10003,"['15:34:00', '16:48:00']",15:00:00
29,4.0,3.358,1.946,"['15:39:00', '16:20:00']",[],10003,[],2016-03-12,[],"['15:37:00', '16:08:00', '16:36:00']",[],8678,['15:34:00'],15:00:00
30,5.0,3.672,1.658,[],[],10252,"['17:58:00', '19:18:00']",2016-03-19,[],['18:42:00'],[],10003,"['18:48:00', '19:15:00', '19:18:00']",17:30:00
31,3.0,3.318,2.174,"['16:26:00', '16:37:00']",[],10003,['15:21:00'],2016-04-02,[],"['15:13:00', '16:11:00']",[],10194,[],15:00:00
32,2.0,3.38,3.772,[],[],8455,"['15:36:00', '15:40:00', '16:29:00', '16:36:00']",2016-04-09,[],['15:25:00'],[],10003,"['15:30:00', '15:43:00', '16:29:00', '16:36:00', '16:37:00']",15:00:00
33,3.0,3.314,2.286,[],[],10003,['15:11:00'],2016-04-16,[],"['15:40:00', '16:41:00', '16:48:00']",[],10261,"['15:24:00', '16:32:00']",15:00:00
34,5.0,3.618,1.738,[],[],10003,"['17:37:00', '17:45:00']",2016-04-24,[],"['16:25:00', '16:45:00', '17:33:00', '17:58:00']",[],8197,['17:55:00'],16:15:00
35,2.0,3.392,3.09,['13:23:00'],['13:34:00'],8650,"['12:27:00', '12:39:00', '13:35:00']",2016-05-01,[],"['12:20:00', '12:33:00', '13:25:00']",[],10003,"['12:41:00', '13:32:00']",12:00:00
36,7.0,4.608,1.44,"['15:25:00', '15:31:00', '16:09:00', '16:26:00', '16:51:00']",[],10003,[],2016-05-07,[],[],[],8654,"['16:30:00', '16:39:00', '16:43:00']",15:00:00
37,1.0,4.54,6.042,['15:05:00'],[],8456,"['15:41:00', '15:45:00', '16:25:00']",2016-05-15,[],['15:46:00'],[],10003,['16:32:00'],15:00:00
