,avg_a_odds,avg_d_odds,avg_h_odds,away_goals,away_reds,away_side,away_yellows,date,disallowed_goals,home_goals,home_reds,home_side,home_yellows,kickoff_time
0,5.0,3.938,1.648,['13:07:00'],[],8586,"['13:12:00', '14:19:00', '14:33:00']",2015-08-08,[],[],[],10260,"['14:12:00', '14:33:00']",12:45:00
1,4.0,3.65,1.798,"['16:36:00', '16:41:00']",[],10194,"['15:08:00', '16:32:00']",2015-08-15,[],"['15:19:00', '15:47:00']",[],8586,"['15:24:00', '16:06:00']",15:00:00
2,2.0,3.384,2.674,['16:39:00'],[],8586,"['15:29:00', '15:31:00', '16:18:00', '16:42:00']",2015-08-22,[],['16:40:00'],[],8197,['16:48:00'],15:00:00
3,4.0,3.474,1.984,[],[],8668,['18:08:00'],2015-08-29,[],[],[],8586,"['18:44:00', '18:47:00', '18:49:00', '19:18:00']",17:30:00
4,1.0,3.5,4.12,['15:10:00'],[],8586,['13:46:00'],2015-09-13,[],[],[],8472,"['13:51:00', '14:12:00']",13:30:00
5,3.0,3.522,1.988,[],[],9826,"['14:15:00', '14:50:00']",2015-09-20,[],['14:56:00'],[],8586,['15:04:00'],13:30:00
6,1.0,3.674,4.086,['13:10:00'],[],8456,['13:49:00'],2015-09-26,[],"['13:30:00', '13:53:00', '14:04:00', '14:22:00']",[],8586,"['13:59:00', '14:02:00', '14:08:00', '14:31:00', '14:33:00']",12:45:00
7,2.0,3.246,2.688,"['16:27:00', '16:31:00', '17:23:00']",[],8586,"['17:11:00', '17:37:00', '17:41:00', '17:48:00']",2015-10-04,[],['16:16:00'],[],10003,['16:26:00'],16:00:00
8,2.0,3.388,2.476,[],[],8650,"['13:21:00', '14:33:00']",2015-10-17,[],[],[],8586,['14:02:00'],12:45:00
9,2.0,3.304,3.436,"['14:14:00', '14:22:00', '14:35:00', '15:19:00', '15:27:00']",[],8586,['14:37:00'],2015-10-25,[],['14:06:00'],[],8678,[],14:05:00
10,7.0,4.516,1.434,['21:37:00'],[],10252,"['20:42:00', '21:25:00', '21:48:00']",2015-11-02,[],"['20:03:00', '20:46:00', '21:51:00']",[],8586,[],20:00:00
11,4.0,3.876,1.72,['16:32:00'],[],8586,['17:13:00'],2015-11-08,[],['17:35:00'],[],9825,[],16:00:00
12,6.0,4.096,1.572,['17:45:00'],[],8654,"['17:25:00', '17:33:00']",2015-11-22,[],"['16:23:00', '16:33:00', '17:08:00', '17:41:00']",[],8586,"['17:25:00', '17:33:00']",16:00:00
13,2.0,3.318,2.576,[],[],8455,"['13:17:00', '13:48:00']",2015-11-29,[],[],[],8586,"['12:32:00', '12:40:00', '12:45:00', '13:11:00']",12:00:00
14,1.0,3.458,4.446,['15:15:00'],[],8586,"['16:33:00', '16:39:00']",2015-12-05,[],['15:39:00'],[],8659,"['16:15:00', '16:31:00', '16:41:00']",15:00:00
15,8.0,5.0375,1.3775,"['17:32:00', '17:51:00']",[],10261,"['16:30:00', '17:38:00']",2015-12-13,[],['16:39:00'],[],8586,"['17:26:00', '17:31:00']",16:00:00
16,2.0,3.308,2.632,"['15:40:00', '15:43:00']",[],8586,['16:30:00'],2015-12-19,[],[],[],8466,['15:40:00'],15:00:00
