,avg_a_odds,avg_d_odds,avg_h_odds,away_goals,away_reds,away_side,away_yellows,date,disallowed_goals,home_goals,home_reds,home_side,home_yellows,kickoff_time
0,5.0,3.73,1.716,"['15:14:00', '16:41:00']",[],9817,"['15:42:00', '16:24:00']",2015-08-08,[],"['16:34:00', '16:44:00']",[],8668,['16:12:00'],15:00:00
1,3.0,3.322,2.29,[],[],8659,"['15:31:00', '16:24:00']",2015-08-15,[],[],[],9817,['16:48:00'],15:00:00
2,2.0,3.262,2.732,[],[],8466,"['16:28:00', '17:15:00']",2015-08-23,[],[],[],9817,[],16:00:00
3,13.0,7.2,1.206,[],[],9817,"['15:44:00', '16:21:00']",2015-08-29,[],"['16:05:00', '16:14:00']",[],8456,['15:40:00'],15:00:00
4,2.0,3.238,2.74,[],[],10003,['16:25:00'],2015-09-12,[],['16:17:00'],['16:22:00'],9817,['16:48:00'],15:00:00
5,2.0,3.292,2.498,"['15:10:00', '15:28:00']",[],9817,"['15:36:00', '16:38:00']",2015-09-19,[],['16:20:00'],[],10261,['16:47:00'],15:00:00
6,2.0,3.252,2.498,['17:29:00'],[],9826,"['17:34:00', '17:39:00', '17:46:00', '17:48:00']",2015-09-27,[],[],[],9817,"['16:39:00', '17:28:00', '17:38:00', '17:40:00']",16:00:00
7,3.0,3.338,2.126,['15:45:00'],[],9817,['16:42:00'],2015-10-03,[],"['15:28:00', '16:43:00']",[],8678,['15:43:00'],15:00:00
8,1.0,4.042,5.858,"['18:50:00', '18:56:00', '19:02:00']",[],9825,['18:47:00'],2015-10-17,[],[],[],9817,"['18:35:00', '18:51:00']",17:30:00
9,3.0,3.246,2.11,"['15:43:00', '16:27:00']",[],9817,['16:47:00'],2015-10-24,[],[],[],10194,"['16:35:00', '16:47:00', '16:48:00']",15:00:00
10,2.0,3.296,2.584,[],['16:42:00'],8654,[],2015-10-31,[],"['15:39:00', '16:06:00']",[],9817,"['16:24:00', '16:39:00', '16:43:00']",15:00:00
11,4.0,3.628,1.852,['16:34:00'],[],9817,['16:23:00'],2015-11-07,[],"['16:11:00', '16:23:00']",[],8197,[],15:00:00
12,2.0,3.336,4.074,['12:56:00'],[],10260,"['14:17:00', '14:18:00']",2015-11-21,[],"['14:30:00', '14:33:00']",[],9817,['14:11:00'],12:45:00
13,2.0,3.18,2.734,"['15:17:00', '16:43:00']",[],9817,"['15:40:00', '16:32:00', '16:44:00', '16:48:00']",2015-11-28,[],"['15:41:00', '16:27:00', '16:47:00']",[],10252,"['16:46:00', '16:48:00']",15:00:00
14,3.0,3.316,2.152,[],[],9850,"['15:29:00', '16:35:00', '16:45:00']",2015-12-05,['15:37:00'],"['15:30:00', '16:50:00']",[],9817,"['16:15:00', '16:18:00', '16:48:00']",15:00:00
15,2.0,3.162,2.842,['15:04:00'],[],9817,[],2015-12-12,[],[],[],8472,['16:18:00'],15:00:00
16,1.0,3.41,4.028,[],[],8650,[],2015-12-20,[],"['13:33:00', '13:45:00', '15:13:00']",[],9817,['15:06:00'],13:30:00
17,7.0,4.404,1.466,['15:42:00'],[],9817,"['15:44:00', '16:07:00', '16:39:00', '16:41:00']",2015-12-26,[],"['15:32:00', '16:14:00', '16:23:00', '16:38:00']",[],8455,['16:46:00'],15:00:00
18,2.0,3.38,3.654,"['15:17:00', '16:47:00']",[],8586,"['15:06:00', '16:39:00']",2015-12-28,[],['15:41:00'],['16:21:00'],9817,"['16:10:00', '16:16:00', '16:22:00', '16:23:00']",15:00:00
19,1.0,3.852,4.928,"['19:10:00', '19:13:00']",[],8456,[],2016-01-02,[],['18:43:00'],[],9817,['18:08:00'],17:30:00
20,4.0,3.382,1.98,[],[],9817,"['21:10:00', '21:20:00']",2016-01-13,[],"['20:01:00', '21:17:00']",[],8466,['20:09:00'],19:45:00
21,3.0,3.202,2.4,[],[],9817,"['20:22:00', '20:33:00']",2016-01-18,[],['20:27:00'],[],10003,"['21:20:00', '21:48:00']",20:00:00
22,3.0,3.408,2.064,['16:29:00'],[],10261,['16:09:00'],2016-01-23,[],"['16:04:00', '16:16:00']",[],9817,"['16:14:00', '16:26:00']",15:00:00
23,1.0,3.376,4.15,[],[],8455,['20:30:00'],2016-02-03,[],[],[],9817,"['20:04:00', '20:30:00']",19:45:00
24,7.0,4.144,1.498,[],[],9817,['16:18:00'],2016-02-06,[],['16:22:00'],[],8586,[],15:00:00
25,3.0,3.196,2.248,"['15:16:00', '16:40:00']",[],9817,['16:35:00'],2016-02-13,[],['15:46:00'],['16:48:00'],9826,[],15:00:00
26,3.0,3.222,2.388,[],[],8678,['16:43:00'],2016-02-27,[],[],[],9817,"['16:36:00', '16:41:00', '16:45:00']",15:00:00
27,5.0,3.674,1.664,[],[],9817,"['21:40:00', '21:48:00']",2016-03-02,[],['21:41:00'],[],10260,['20:23:00'],20:00:00
28,2.0,3.286,2.882,['18:44:00'],[],8197,"['19:02:00', '19:18:00']",2016-03-05,[],[],[],9817,"['17:59:00', '18:46:00']",17:30:00
29,3.0,3.144,2.4,"['15:18:00', '16:09:00']",[],10194,['16:34:00'],2016-03-19,[],['16:44:00'],[],9817,"['15:41:00', '15:45:00', '16:41:00']",15:00:00
30,9.0,5.04,1.354,[],[],9817,['16:19:00'],2016-04-02,[],"['15:04:00', '15:38:00', '16:06:00', '16:48:00']",[],9825,['16:42:00'],15:00:00
31,2.0,3.302,3.414,['15:46:00'],[],8668,['15:43:00'],2016-04-09,[],['15:47:00'],[],9817,"['15:13:00', '16:48:00']",15:00:00
32,3.0,3.146,2.372,['15:27:00'],[],9817,"['15:33:00', '16:25:00', '16:44:00']",2016-04-16,[],"['16:26:00', '16:45:00']",[],8659,[],15:00:00
33,6.0,4.18,1.538,"['21:07:00', '21:35:00']",['21:33:00'],9817,"['20:07:00', '21:14:00', '21:19:00']",2016-04-20,[],"['19:56:00', '20:30:00', '20:56:00']",[],8654,[],19:45:00
34,5.0,3.73,1.702,"['15:28:00', '16:06:00']",['16:31:00'],10252,"['15:41:00', '15:45:00', '16:35:00']",2016-04-30,[],"['15:47:00', '16:48:00', '16:51:00']",[],9817,"['16:36:00', '16:40:00']",15:00:00
35,6.0,4.41,1.502,[],[],9817,"['17:17:00', '17:31:00']",2016-05-08,[],"['16:35:00', '17:34:00']",[],8650,['17:21:00'],16:00:00
36,4.0,3.644,1.806,"['19:56:00', '20:22:00', '20:54:00']",[],9817,"['20:28:00', '21:10:00', '21:25:00']",2016-05-11,[],"['20:00:00', '20:03:00', '21:00:00']",[],9850,"['20:50:00', '21:27:00']",19:45:00
37,3.0,3.67,2.026,"['15:39:00', '16:09:00']",[],8472,[],2016-05-15,[],"['16:06:00', '16:19:00']",[],9817,['16:38:00'],15:00:00
