,avg_a_odds,avg_d_odds,avg_h_odds,away_goals,away_reds,away_side,away_yellows,date,disallowed_goals,home_goals,home_reds,home_side,home_yellows,kickoff_time
0,1.0,3.846,5.45,"['20:09:00', '20:24:00', '21:17:00']",[],8456,['21:09:00'],2015-08-10,[],[],[],8659,"['20:39:00', '21:15:00', '21:16:00', '21:20:00']",20:00:00
1,3.0,3.322,2.29,[],[],8659,"['15:31:00', '16:24:00']",2015-08-15,[],[],[],9817,['16:48:00'],15:00:00
2,1.0,3.776,6.0,"['13:50:00', '14:00:00', '14:13:00']",['14:43:00'],8455,['13:47:00'],2015-08-23,[],"['13:44:00', '14:06:00', '14:47:00']",[],8659,"['14:07:00', '14:59:00']",13:30:00
3,4.0,3.37,1.96,['15:48:00'],[],8659,"['15:25:00', '16:27:00', '16:42:00', '16:48:00']",2015-08-29,[],[],"['15:25:00', '15:31:00']",10194,['16:24:00'],15:00:00
4,2.0,3.152,3.102,[],[],8466,[],2015-09-12,[],[],[],8659,['16:37:00'],15:00:00
5,3.0,3.206,2.304,['15:39:00'],[],8659,"['15:21:00', '15:34:00', '16:36:00']",2015-09-19,[],[],[],10252,"['16:20:00', '16:40:00']",15:00:00
6,2.0,3.238,3.012,"['21:13:00', '21:33:00', '21:42:00']",[],8668,"['21:22:00', '21:28:00', '21:34:00']",2015-09-28,[],"['20:41:00', '21:12:00']",[],8659,[],20:00:00
7,4.0,3.45,1.834,[],[],8659,"['13:01:00', '14:04:00', '14:30:00']",2015-10-03,[],"['14:11:00', '14:32:00']",[],9826,"['13:10:00', '14:22:00', '14:30:00']",12:45:00
8,4.0,3.264,2.066,[],[],8472,"['16:13:00', '16:42:00']",2015-10-17,[],['16:12:00'],[],8659,"['15:09:00', '16:14:00']",15:00:00
9,4.0,3.358,2.014,['16:05:00'],[],8659,"['16:30:00', '16:36:00']",2015-10-24,[],[],[],9850,['15:22:00'],15:00:00
10,2.0,3.272,2.824,"['16:15:00', '16:22:00', '16:35:00']",[],8197,"['16:47:00', '16:48:00']",2015-10-31,[],"['15:30:00', '16:42:00']",[],8659,[],15:00:00
11,11.0,4.8,1.344,[],['16:48:00'],8659,"['15:43:00', '16:18:00', '16:23:00']",2015-11-07,[],"['16:10:00', '16:49:00']",[],10260,['16:19:00'],15:00:00
12,1.0,4.256,6.536,"['15:28:00', '15:40:00', '16:42:00']",[],9825,"['15:32:00', '15:42:00']",2015-11-21,[],['15:35:00'],[],8659,"['15:43:00', '16:41:00', '16:48:00']",15:00:00
13,3.0,3.372,2.06,[],[],8659,"['14:22:00', '15:45:00']",2015-11-29,[],"['14:22:00', '15:13:00']",[],8654,[],14:05:00
14,1.0,3.458,4.446,['15:15:00'],[],8586,"['16:33:00', '16:39:00']",2015-12-05,[],['15:39:00'],[],8659,"['16:15:00', '16:31:00', '16:41:00']",15:00:00
15,9.0,4.5,1.41,"['16:30:00', '17:31:00']",[],8659,[],2015-12-13,['16:46:00'],"['16:21:00', '17:54:00']",[],8650,[],16:00:00
16,2.0,3.224,2.538,"['16:10:00', '16:45:00']",[],8678,['16:48:00'],2015-12-19,[],['16:37:00'],"['15:34:00', '16:48:00']",8659,"['15:39:00', '16:22:00']",15:00:00
17,4.0,3.314,1.948,[],[],8659,"['15:41:00', '16:22:00', '16:44:00']",2015-12-26,[],['15:09:00'],[],10003,['16:44:00'],15:00:00
18,3.0,3.25,2.186,[],[],10261,[],2015-12-28,[],['16:36:00'],[],8659,[],15:00:00
19,2.0,3.12,2.782,['16:39:00'],['16:42:00'],10194,['16:34:00'],2016-01-02,[],"['16:19:00', '16:51:00']",[],8659,['16:48:00'],15:00:00
20,8.0,4.376,1.444,"['20:18:00', '21:16:00', '21:29:00']",[],8659,"['20:10:00', '21:11:00', '21:13:00']",2016-01-13,[],['20:05:00'],[],8455,"['20:52:00', '21:13:00', '21:28:00']",19:45:00
21,5.0,3.546,1.716,[],[],8659,[],2016-01-16,[],"['15:05:00', '15:35:00', '16:30:00']",[],8466,[],15:00:00
22,3.0,3.176,2.114,[],[],10252,['15:41:00'],2016-01-23,[],[],[],8659,[],15:00:00
23,3.0,3.028,2.606,['21:22:00'],[],10003,[],2016-02-02,[],['21:50:00'],[],8659,[],20:00:00
24,3.0,3.266,2.174,[],[],8659,"['16:06:00', '16:21:00', '16:41:00']",2016-02-06,['15:31:00'],['15:32:00'],[],10261,[],15:00:00
25,6.0,4.036,1.522,['15:14:00'],[],8659,"['16:09:00', '16:10:00', '16:34:00', '16:41:00']",2016-02-13,[],[],[],8668,['16:23:00'],15:00:00
26,2.0,3.066,2.678,"['18:37:00', '19:08:00']",[],9826,"['17:55:00', '18:52:00']",2016-02-27,[],"['17:42:00', '17:50:00', '18:01:00']",[],8659,"['17:47:00', '19:07:00']",17:30:00
