,avg_a_odds,avg_d_odds,avg_h_odds,away_goals,away_reds,away_side,away_yellows,date,disallowed_goals,home_goals,home_reds,home_side,home_yellows,kickoff_time
0,11.0,5.6,1.294,"['14:13:00', '14:45:00']",[],8654,"['13:35:00', '13:38:00', '14:07:00']",2015-08-09,[],[],[],9825,['14:57:00'],13:30:00
1,3.0,3.364,2.26,"['15:27:00', '15:38:00']",[],8197,"['15:11:00', '16:12:00', '16:46:00']",2015-08-15,[],['16:13:00'],['16:48:00'],8654,['15:40:00'],15:00:00
2,3.0,3.348,2.388,"['15:11:00', '15:28:00', '16:24:00', '16:37:00']",[],8678,['16:33:00'],2015-08-22,[],"['16:06:00', '16:11:00', '16:40:00']",['16:37:00'],8654,[],15:00:00
3,8.0,5.056,1.368,"['15:03:00', '15:29:00', '16:50:00']",['16:37:00'],8654,"['15:39:00', '16:39:00']",2015-08-29,[],[],['16:11:00'],8650,"['15:45:00', '16:28:00', '16:44:00', '16:48:00']",15:00:00
4,3.0,3.386,2.246,[],[],10261,"['20:30:00', '21:15:00']",2015-09-14,[],"['20:09:00', '21:06:00']",[],8654,[],20:00:00
5,11.0,6.09,1.276,"['17:36:00', '18:01:00']",[],8654,"['17:52:00', '18:15:00']",2015-09-19,[],['18:17:00'],[],8456,['18:42:00'],17:30:00
6,3.0,3.378,2.244,"['15:09:00', '16:41:00']",[],9850,[],2015-09-26,[],"['15:33:00', '16:51:00']",[],8654,[],15:00:00
7,2.0,3.372,3.086,"['15:46:00', '16:18:00']",[],8654,"['15:02:00', '15:24:00', '15:35:00', '16:30:00']",2015-10-03,[],"['15:10:00', '15:22:00']",['16:15:00'],8472,"['15:32:00', '15:43:00', '16:32:00']",15:00:00
8,3.0,3.534,2.012,"['15:22:00', '16:46:00', '16:52:00']",[],8654,"['15:21:00', '15:40:00', '16:48:00']",2015-10-17,[],"['15:25:00', '15:25:00']",['15:44:00'],9826,"['15:32:00', '16:27:00']",15:00:00
9,1.0,3.608,3.852,['16:14:00'],['15:45:00'],8455,"['15:24:00', '15:35:00', '15:45:00', '15:45:00', '16:40:00', '16:48:00']",2015-10-24,['15:42:00'],"['15:17:00', '16:37:00']",[],8654,['16:32:00'],15:00:00
