date,Newcastle United Football Club,Newcastle,isPartial
2015-08-09 01:04:00,0,23,False
2015-08-09 01:12:00,0,20,False
2015-08-09 01:20:00,0,21,False
2015-08-09 01:28:00,0,21,False
2015-08-09 01:36:00,0,18,False
2015-08-09 01:44:00,0,21,False
2015-08-09 01:52:00,0,19,False
2015-08-09 02:00:00,0,18,False
2015-08-09 02:08:00,0,20,False
2015-08-09 02:16:00,0,17,False
2015-08-09 02:24:00,0,19,False
2015-08-09 02:32:00,0,18,False
2015-08-09 02:40:00,0,19,False
2015-08-09 02:48:00,0,20,False
2015-08-09 02:56:00,0,20,False
2015-08-09 03:04:00,0,19,False
2015-08-09 03:12:00,0,20,False
2015-08-09 03:20:00,0,19,False
2015-08-09 03:28:00,0,19,False
2015-08-09 03:36:00,0,20,False
2015-08-09 03:44:00,0,22,False
2015-08-09 03:52:00,0,16,False
2015-08-09 04:00:00,0,20,False
2015-08-09 04:08:00,0,20,False
2015-08-09 04:16:00,0,20,False
2015-08-09 04:24:00,0,21,False
2015-08-09 04:32:00,0,22,False
2015-08-09 04:40:00,0,25,False
2015-08-09 04:48:00,0,24,False
2015-08-09 04:56:00,0,23,False
2015-08-09 05:04:00,0,23,False
2015-08-09 05:12:00,0,22,False
2015-08-09 05:20:00,0,20,False
2015-08-09 05:28:00,0,23,False
2015-08-09 05:36:00,0,24,False
2015-08-09 05:44:00,0,26,False
2015-08-09 05:52:00,0,26,False
2015-08-09 06:00:00,0,29,False
2015-08-09 06:08:00,0,27,False
2015-08-09 06:16:00,0,31,False
2015-08-09 06:24:00,0,31,False
2015-08-09 06:32:00,0,28,False
2015-08-09 06:40:00,0,31,False
2015-08-09 06:48:00,0,34,False
2015-08-09 06:56:00,0,35,False
2015-08-09 07:04:00,0,36,False
2015-08-09 07:12:00,0,37,False
2015-08-09 07:20:00,0,39,False
2015-08-09 07:28:00,0,40,False
2015-08-09 07:36:00,0,42,False
2015-08-09 07:44:00,0,42,False
2015-08-09 07:52:00,0,44,False
2015-08-09 08:00:00,0,42,False
2015-08-09 08:08:00,0,44,False
2015-08-09 08:16:00,0,45,False
2015-08-09 08:24:00,0,48,False
2015-08-09 08:32:00,0,47,False
2015-08-09 08:40:00,0,49,False
2015-08-09 08:48:00,0,48,False
2015-08-09 08:56:00,0,51,False
2015-08-09 09:04:00,0,50,False
2015-08-09 09:12:00,0,47,False
2015-08-09 09:20:00,0,48,False
2015-08-09 09:28:00,0,50,False
2015-08-09 09:36:00,0,49,False
2015-08-09 09:44:00,0,53,False
2015-08-09 09:52:00,0,49,False
2015-08-09 10:00:00,0,55,False
2015-08-09 10:08:00,0,54,False
2015-08-09 10:16:00,0,53,False
2015-08-09 10:24:00,0,55,False
2015-08-09 10:32:00,0,55,False
2015-08-09 10:40:00,0,57,False
2015-08-09 10:48:00,0,54,False
2015-08-09 10:56:00,0,53,False
2015-08-09 11:04:00,0,57,False
2015-08-09 11:12:00,0,55,False
2015-08-09 11:20:00,0,62,False
2015-08-09 11:28:00,0,63,False
2015-08-09 11:36:00,0,71,False
2015-08-09 11:44:00,0,66,False
2015-08-09 11:52:00,0,64,False
2015-08-09 12:00:00,0,66,False
2015-08-09 12:08:00,0,73,False
2015-08-09 12:16:00,0,84,False
2015-08-09 12:24:00,0,100,False
2015-08-09 12:32:00,0,99,False
2015-08-09 12:40:00,0,92,False
2015-08-09 12:48:00,0,85,False
2015-08-09 12:56:00,0,81,False
2015-08-09 13:04:00,0,74,False
2015-08-09 13:12:00,0,75,False
2015-08-09 13:20:00,0,73,False
2015-08-09 13:28:00,0,72,False
2015-08-09 13:36:00,0,86,False
2015-08-09 13:44:00,0,77,False
2015-08-09 13:52:00,0,78,False
2015-08-09 14:00:00,0,71,False
2015-08-09 14:08:00,0,73,False
2015-08-09 14:16:00,0,66,False
2015-08-09 14:24:00,0,73,False
2015-08-09 14:32:00,0,58,False
2015-08-09 14:40:00,0,55,False
2015-08-09 14:48:00,0,51,False
2015-08-09 14:56:00,0,46,False
2015-08-09 15:04:00,0,47,False
2015-08-09 15:12:00,0,42,False
2015-08-09 15:20:00,0,44,False
2015-08-09 15:28:00,0,39,False
2015-08-09 15:36:00,0,43,False
2015-08-09 15:44:00,0,41,False
2015-08-09 15:52:00,0,41,False
2015-08-09 16:00:00,0,38,False
2015-08-09 16:08:00,0,35,False
2015-08-09 16:16:00,0,39,False
2015-08-09 16:24:00,0,37,False
2015-08-09 16:32:00,0,36,False
2015-08-09 16:40:00,0,35,False
2015-08-09 16:48:00,0,38,False
2015-08-09 16:56:00,0,33,False
2015-08-09 17:04:00,0,34,False
2015-08-09 17:12:00,0,36,False
2015-08-09 17:20:00,0,34,False
2015-08-09 17:28:00,0,35,False
2015-08-09 17:36:00,0,37,False
2015-08-09 17:44:00,0,34,False
2015-08-09 17:52:00,0,36,False
2015-08-09 18:00:00,0,34,False
2015-08-09 18:08:00,0,34,False
2015-08-09 18:16:00,0,35,False
2015-08-09 18:24:00,0,31,False
2015-08-09 18:32:00,0,34,False
2015-08-09 18:40:00,0,35,False
2015-08-09 18:48:00,0,33,False
2015-08-09 18:56:00,0,34,False
2015-08-09 19:04:00,0,32,False
2015-08-09 19:12:00,0,33,False
2015-08-09 19:20:00,0,33,False
2015-08-09 19:28:00,0,36,False
2015-08-09 19:36:00,0,36,False
2015-08-09 19:44:00,0,32,False
2015-08-09 19:52:00,0,34,False
2015-08-09 20:00:00,0,35,False
2015-08-09 20:08:00,0,34,False
2015-08-09 20:16:00,0,36,False
2015-08-09 20:24:00,0,35,False
2015-08-09 20:32:00,0,35,False
2015-08-09 20:40:00,0,38,False
2015-08-09 20:48:00,0,38,False
2015-08-09 20:56:00,0,40,False
2015-08-09 21:04:00,0,42,False
2015-08-09 21:12:00,0,36,False
2015-08-09 21:20:00,0,39,False
2015-08-09 21:28:00,0,37,False
2015-08-09 21:36:00,0,38,False
2015-08-09 21:44:00,0,42,False
2015-08-09 21:52:00,0,47,False
2015-08-09 22:00:00,0,47,False
2015-08-09 22:08:00,0,38,False
2015-08-09 22:16:00,0,36,False
2015-08-09 22:24:00,0,36,False
2015-08-09 22:32:00,0,31,False
2015-08-09 22:40:00,0,35,False
2015-08-09 22:48:00,0,33,False
2015-08-09 22:56:00,0,33,False
2015-08-15 01:04:00,0,34,False
2015-08-15 01:12:00,0,33,False
2015-08-15 01:20:00,0,31,False
2015-08-15 01:28:00,0,33,False
2015-08-15 01:36:00,0,36,False
2015-08-15 01:44:00,0,35,False
2015-08-15 01:52:00,0,33,False
2015-08-15 02:00:00,0,29,False
2015-08-15 02:08:00,0,32,False
2015-08-15 02:16:00,0,33,False
2015-08-15 02:24:00,0,32,False
2015-08-15 02:32:00,0,32,False
2015-08-15 02:40:00,0,31,False
2015-08-15 02:48:00,0,32,False
2015-08-15 02:56:00,0,34,False
2015-08-15 03:04:00,0,34,False
2015-08-15 03:12:00,0,30,False
2015-08-15 03:20:00,0,34,False
2015-08-15 03:28:00,0,36,False
2015-08-15 03:36:00,0,32,False
2015-08-15 03:44:00,0,37,False
2015-08-15 03:52:00,0,34,False
2015-08-15 04:00:00,0,34,False
2015-08-15 04:08:00,0,33,False
2015-08-15 04:16:00,0,35,False
2015-08-15 04:24:00,0,34,False
2015-08-15 04:32:00,0,34,False
2015-08-15 04:40:00,0,33,False
2015-08-15 04:48:00,0,36,False
2015-08-15 04:56:00,0,40,False
2015-08-15 05:04:00,0,37,False
2015-08-15 05:12:00,0,43,False
2015-08-15 05:20:00,0,40,False
2015-08-15 05:28:00,0,42,False
2015-08-15 05:36:00,0,41,False
2015-08-15 05:44:00,0,46,False
2015-08-15 05:52:00,0,52,False
2015-08-15 06:00:00,0,47,False
2015-08-15 06:08:00,0,50,False
2015-08-15 06:16:00,0,51,False
2015-08-15 06:24:00,0,56,False
2015-08-15 06:32:00,0,57,False
2015-08-15 06:40:00,0,53,False
2015-08-15 06:48:00,0,58,False
2015-08-15 06:56:00,0,61,False
2015-08-15 07:04:00,0,64,False
2015-08-15 07:12:00,0,59,False
2015-08-15 07:20:00,0,59,False
2015-08-15 07:28:00,0,61,False
2015-08-15 07:36:00,0,65,False
2015-08-15 07:44:00,0,56,False
2015-08-15 07:52:00,0,62,False
2015-08-15 08:00:00,0,64,False
2015-08-15 08:08:00,0,63,False
2015-08-15 08:16:00,0,65,False
2015-08-15 08:24:00,0,72,False
2015-08-15 08:32:00,0,71,False
2015-08-15 08:40:00,0,66,False
2015-08-15 08:48:00,0,61,False
2015-08-15 08:56:00,0,67,False
2015-08-15 09:04:00,0,69,False
2015-08-15 09:12:00,0,72,False
2015-08-15 09:20:00,0,64,False
2015-08-15 09:28:00,0,70,False
2015-08-15 09:36:00,0,68,False
2015-08-15 09:44:00,0,69,False
2015-08-15 09:52:00,0,71,False
2015-08-15 10:00:00,0,68,False
2015-08-15 10:08:00,0,73,False
2015-08-15 10:16:00,0,71,False
2015-08-15 10:24:00,0,72,False
2015-08-15 10:32:00,0,70,False
