date,Chelsea Football Club,isPartial
2015-08-08 01:04:00,10,False
2015-08-08 01:12:00,24,False
2015-08-08 01:20:00,10,False
2015-08-08 01:28:00,10,False
2015-08-08 01:36:00,10,False
2015-08-08 01:44:00,24,False
2015-08-08 01:52:00,15,False
2015-08-08 02:00:00,5,False
2015-08-08 02:08:00,5,False
2015-08-08 02:16:00,15,False
2015-08-08 02:24:00,10,False
2015-08-08 02:32:00,15,False
2015-08-08 02:40:00,10,False
2015-08-08 02:48:00,10,False
2015-08-08 02:56:00,10,False
2015-08-08 03:04:00,15,False
2015-08-08 03:12:00,20,False
2015-08-08 03:20:00,10,False
2015-08-08 03:28:00,15,False
2015-08-08 03:36:00,10,False
2015-08-08 03:44:00,10,False
2015-08-08 03:52:00,10,False
2015-08-08 04:00:00,21,False
2015-08-08 04:08:00,16,False
2015-08-08 04:16:00,26,False
2015-08-08 04:24:00,10,False
2015-08-08 04:32:00,21,False
2015-08-08 04:40:00,16,False
2015-08-08 04:48:00,10,False
2015-08-08 04:56:00,21,False
2015-08-08 05:04:00,10,False
2015-08-08 05:12:00,31,False
2015-08-08 05:20:00,41,False
2015-08-08 05:28:00,40,False
2015-08-08 05:36:00,15,False
2015-08-08 05:44:00,35,False
2015-08-08 05:52:00,5,False
2015-08-08 06:00:00,20,False
2015-08-08 06:08:00,29,False
2015-08-08 06:16:00,14,False
2015-08-08 06:24:00,19,False
2015-08-08 06:32:00,33,False
2015-08-08 06:40:00,28,False
2015-08-08 06:48:00,18,False
2015-08-08 06:56:00,27,False
2015-08-08 07:04:00,45,False
2015-08-08 07:12:00,31,False
2015-08-08 07:20:00,44,False
2015-08-08 07:28:00,30,False
2015-08-08 07:36:00,26,False
2015-08-08 07:44:00,17,False
2015-08-08 07:52:00,60,False
2015-08-08 08:00:00,42,False
2015-08-08 08:08:00,38,False
2015-08-08 08:16:00,17,False
2015-08-08 08:24:00,67,False
2015-08-08 08:32:00,17,False
2015-08-08 08:40:00,37,False
2015-08-08 08:48:00,33,False
2015-08-08 08:56:00,33,False
2015-08-08 09:04:00,29,False
2015-08-08 09:12:00,32,False
2015-08-08 09:20:00,40,False
2015-08-08 09:28:00,24,False
2015-08-08 09:36:00,40,False
2015-08-08 09:44:00,40,False
2015-08-08 09:52:00,48,False
2015-08-08 10:00:00,16,False
2015-08-08 10:08:00,16,False
2015-08-08 10:16:00,20,False
2015-08-08 10:24:00,28,False
2015-08-08 10:32:00,39,False
2015-08-08 10:40:00,19,False
