,avg_a_odds,avg_d_odds,avg_h_odds,away_goals,away_reds,away_side,away_yellows,date,disallowed_goals,home_goals,home_reds,home_side,home_yellows,kickoff_time
0,10.0,4.634,1.39,"['17:59:00', '18:00:00', '18:43:00']",[],10003,"['17:49:00', '18:15:00', '19:18:00']",2015-08-08,['18:56:00'],['17:53:00'],['18:40:00'],8455,['18:42:00'],17:30:00
1,3.0,3.412,2.106,[],[],8455,"['17:06:00', '17:39:00']",2015-08-16,[],"['16:31:00', '17:37:00', '17:43:00']",[],8456,"['16:33:00', '16:45:00', '17:09:00', '17:48:00']",16:00:00
2,1.0,3.776,6.0,"['13:50:00', '14:00:00', '14:13:00']",['14:43:00'],8455,['13:47:00'],2015-08-23,[],"['13:44:00', '14:06:00', '14:47:00']",[],8659,"['14:07:00', '14:59:00']",13:30:00
3,9.0,4.902,1.362,"['16:23:00', '16:39:00']",[],9826,['16:31:00'],2015-08-29,[],['16:37:00'],[],8455,['16:29:00'],15:00:00
4,2.0,3.434,3.972,['13:21:00'],[],8455,"['14:31:00', '14:33:00']",2015-09-12,[],"['13:02:00', '13:07:00', '14:26:00']",[],8668,"['14:08:00', '14:30:00']",12:45:00
5,3.0,3.402,2.44,['14:34:00'],"['13:30:00', '14:22:00']",9825,"['13:16:00', '13:30:00', '14:15:00']",2015-09-19,[],['13:56:00'],[],8455,"['13:30:00', '13:52:00', '14:07:00']",12:45:00
6,1.0,3.972,5.946,"['19:07:00', '19:14:00']",[],8455,"['18:56:00', '19:18:00']",2015-09-26,[],"['18:12:00', '18:48:00']",[],10261,['18:04:00'],17:30:00
7,4.0,3.602,1.824,"['18:14:00', '18:48:00', '19:01:00']",[],8466,"['17:39:00', '17:56:00', '18:04:00', '19:06:00', '19:14:00']",2015-10-03,[],['17:40:00'],[],8455,"['18:13:00', '18:45:00']",17:30:00
8,9.0,5.192,1.344,['16:12:00'],[],10252,"['16:07:00', '16:20:00', '16:44:00']",2015-10-17,[],['15:34:00'],[],8455,['16:32:00'],15:00:00
9,1.0,3.608,3.852,['16:14:00'],['15:45:00'],8455,"['15:24:00', '15:35:00', '15:45:00', '15:45:00', '16:40:00', '16:48:00']",2015-10-24,['15:42:00'],"['15:17:00', '16:37:00']",[],8654,['16:32:00'],15:00:00
